"OBJECTID","DIENOS","BENDRAS_ATVEJU_SKAICIUS","BENDRAS_GYDOMU_SKAICIUS","BENDRAS_PASVEIKUSIU_SKAICIUS","BENDRAS_MIRCIU_SKAICIUS","DT"
24660,2020-04-05 21:00:00,843,821,8,14,"2020-04-06"
24661,2020-04-06 21:00:00,880,858,8,14,"2020-04-07"
24662,2020-04-07 21:00:00,912,890,8,14,"2020-04-08"
24663,2020-04-08 21:00:00,955,931,8,16,"2020-04-09"
24664,2020-04-09 21:00:00,999,974,8,17,"2020-04-10"
24665,2020-04-10 21:00:00,1026,949,54,23,"2020-04-11"
24666,2020-04-11 21:00:00,1053,976,54,23,"2020-04-12"
24667,2020-04-12 21:00:00,1062,984,54,24,"2020-04-13"
24668,2020-04-13 21:00:00,1070,990,54,26,"2020-04-14"
24669,2020-04-14 21:00:00,1091,923,138,30,"2020-04-15"
24670,2020-04-15 21:00:00,1128,920,178,30,"2020-04-16"
24671,2020-04-16 21:00:00,1149,907,210,32,"2020-04-17"
24672,2020-04-17 21:00:00,1239,978,228,33,"2020-04-18"
24673,2020-04-18 21:00:00,1298,1023,242,33,"2020-04-19"
24674,2020-04-19 21:00:00,1326,1048,242,36,"2020-04-20"
24675,2020-04-20 21:00:00,1348,1013,298,37,"2020-04-21"
24676,2020-04-21 21:00:00,1370,975,357,38,"2020-04-22"
24677,2020-04-22 21:00:00,1398,961,399,38,"2020-04-23"
24678,2020-04-23 21:00:00,1410,940,430,40,"2020-04-24"
24679,2020-04-24 21:00:00,1426,925,460,41,"2020-04-25"
24680,2020-04-25 21:00:00,1438,930,467,41,"2020-04-26"
24681,2020-04-26 21:00:00,1449,934,474,41,"2020-04-27"
24682,2020-04-27 21:00:00,1344,808,536,44,"2020-04-28"
24683,2020-04-28 21:00:00,1375,767,563,45,"2020-04-29"
24684,2020-04-29 21:00:00,1385,751,589,45,"2020-04-30"
24685,2020-04-30 21:00:00,1399,760,594,45,"2020-05-01"
24686,2020-05-01 21:00:00,1406,728,632,46,"2020-05-02"
24687,2020-05-02 21:00:00,1410,732,632,46,"2020-05-03"
24688,2020-05-03 21:00:00,1419,733,638,46,"2020-05-04"
24689,2020-05-04 21:00:00,1423,697,678,46,"2020-05-05"
24690,2020-05-05 21:00:00,1428,659,718,48,"2020-05-06"
24691,2020-05-06 21:00:00,1433,642,739,49,"2020-05-07"
24692,2020-05-07 21:00:00,1436,618,765,49,"2020-05-08"
24693,2020-05-08 21:00:00,1444,563,828,49,"2020-05-09"
24694,2020-05-09 21:00:00,1479,597,828,50,"2020-05-10"
24695,2020-05-10 21:00:00,1485,598,833,50,"2020-05-11"
24696,2020-05-11 21:00:00,1491,587,850,50,"2020-05-12"
24697,2020-05-12 21:00:00,1505,537,908,54,"2020-05-13"
24698,2020-05-13 21:00:00,1511,517,934,54,"2020-05-14"
25022,2020-05-16 21:00:00,1541,482,997,56,"2020-05-17"
25021,2020-05-14 21:00:00,1523,498,965,54,"2020-05-15"
25023,2020-05-17 21:00:00,1547,485,997,59,"2020-05-18"
25660,2020-05-19 21:00:00,1577,460,1049,60,"2020-05-20"
25024,2020-05-20 21:00:00,1593,475,1049,61,"2020-05-21"
25025,2020-05-21 21:00:00,1604,424,1111,61,"2020-05-22"
25026,2020-05-24 21:00:00,1635,426,1138,63,"2020-05-25"
25663,2020-05-25 21:00:00,1639,401,1165,65,"2020-05-26"
25664,2020-05-26 21:00:00,1647,389,1184,66,"2020-05-27"
25666,2020-05-30 21:00:00,1675,360,1236,70,"2020-05-31"
25667,2020-06-01 21:00:00,1682,353,1249,71,"2020-06-02"
25659,2020-05-18 21:00:00,1562,471,1025,60,"2020-05-19"
25020,2020-05-15 21:00:00,1534,485,988,55,"2020-05-16"
25662,2020-05-23 21:00:00,1623,414,1138,63,"2020-05-24"
25665,2020-05-29 21:00:00,1670,362,1229,70,"2020-05-30"
25980,2020-06-03 21:00:00,1687,334,1273,71,"2020-06-04"
