"OBJECTID","SAV_ID","SAV_PAV","APSK_ID","APSKRITIS","PLOTAS","TYRIMAI","TEIGIAMI","VYRAI","MOTERYS","GYDOMA","PASVEIKO","MIRE","ATNUJINTA","SHAPE_AREA","SHAPE_LEN","ATVEJAI","ATVEJAI_10000_GYV","GYV_SK","GYDOMA_10000_GYV","ATVEJAI_14","ATVEJAI_14_100000","ATVEJAI_14_100000LT"
61,NA,"Kita",NA,NA,NA,NA,0,9,5,1,12,1,2020-06-07 06:58:43,0,0,0,0,0,0,0,0,3.3
63041,NA,"Utenos r.",NA,NA,NA,NA,5,2,3,1,4,0,2020-06-07 06:56:11,0,0,5,13.4,37179,2.7,1,2.7,3.3
63042,NA,"Kaišiadorių r.",NA,NA,NA,NA,3,1,2,0,3,0,2020-06-07 06:56:12,0,0,3,10.2,29526,0,0,0,3.3
63043,NA,"Vilkaviškio r.",NA,NA,NA,NA,7,4,3,0,6,1,2020-06-07 06:56:12,0,0,7,20.2,34660,0,0,0,3.3
63044,NA,"Prienų r.",NA,NA,NA,NA,5,3,2,0,5,0,2020-06-07 06:56:13,0,0,5,19.4,25802,0,0,0,3.3
63045,NA,"Jonavos r.",NA,NA,NA,NA,9,1,8,0,9,0,2020-06-07 06:56:14,0,0,9,21.9,41163,0,0,0,3.3
63046,NA,"Rietavo",NA,NA,NA,NA,6,4,2,0,6,0,2020-06-07 06:56:14,0,0,6,82.7,7258,0,0,0,3.3
63047,NA,"Marijampolės",NA,NA,NA,NA,75,31,44,0,71,4,2020-06-07 06:56:15,0,0,75,139.5,53772,0,0,0,3.3
63048,NA,"Kauno m.",NA,NA,NA,NA,102,50,52,14,85,3,2020-06-07 06:56:16,0,0,102,35.2,289380,4.8,2,0.7,3.3
63049,NA,"Alytaus m.",NA,NA,NA,NA,28,17,11,0,27,1,2020-06-07 06:56:17,0,0,28,56.1,49888,0,0,0,3.3
63050,NA,"Druskininkų",NA,NA,NA,NA,1,0,1,0,1,0,2020-06-07 06:56:17,0,0,1,5.2,19109,0,0,0,3.3
63051,NA,"Joniškio r.",NA,NA,NA,NA,15,8,7,0,14,1,2020-06-07 06:56:18,0,0,15,72.4,20726,0,0,0,3.3
63052,NA,"Kazlų Rūdos",NA,NA,NA,NA,3,0,3,1,2,0,2020-06-07 06:56:18,0,0,3,26.5,11337,8.8,0,0,3.3
63053,NA,"Biržų r.",NA,NA,NA,NA,10,5,5,0,10,0,2020-06-07 06:56:19,0,0,10,44,22718,0,0,0,3.3
63054,NA,"Šiaulių r.",NA,NA,NA,NA,11,6,5,0,10,1,2020-06-07 06:56:20,0,0,11,26.5,41442,0,0,0,3.3
63055,NA,"Klaipėdos r.",NA,NA,NA,NA,59,27,32,5,51,3,2020-06-07 06:56:21,0,0,59,98.1,60139,8.3,4,6.7,3.3
63056,NA,"Anykščių r.",NA,NA,NA,NA,6,2,4,0,6,0,2020-06-07 06:56:21,0,0,6,26,23034,0,0,0,3.3
63057,NA,"Akmenės r.",NA,NA,NA,NA,5,3,2,0,5,0,2020-06-07 06:56:22,0,0,5,26.6,18764,0,0,0,3.3
63058,NA,"Molėtų r.",NA,NA,NA,NA,3,1,2,2,1,0,2020-06-07 06:56:23,0,0,3,17.5,17153,11.7,0,0,3.3
63059,NA,"Radviliškio r.",NA,NA,NA,NA,4,3,1,1,3,0,2020-06-07 06:56:24,0,0,4,11.4,34995,2.9,1,2.9,3.3
63060,NA,"Rokiškio r.",NA,NA,NA,NA,3,0,3,0,3,0,2020-06-07 06:56:25,0,0,3,10.7,28070,0,0,0,3.3
