"day","administrative_level_3","confirmed","confirmed_100k","confirmed_14","confirmed_14_100k","confirmed_male","confirmed_female","active","active_100k","recovered","deaths","population","downloaded","updated"
2020-05-22,"Neringos",1,2.8,NA,NA,1,0,1,2.8,0,0,3530,2020-05-23 19:15:42,"2020-05-23 09:03:45"
2020-05-22,"Mažeikių r.",7,1.4,NA,NA,4,3,1,0.2,5,1,51067,2020-05-23 19:15:42,"2020-05-23 09:03:45"
2020-05-22,"Ignalinos r.",3,2.1,NA,NA,1,2,1,0.7,2,0,14433,2020-05-23 19:15:42,"2020-05-23 09:03:46"
2020-05-22,"Telšių r.",10,2.5,NA,NA,5,5,0,0,8,2,39317,2020-05-23 19:15:42,"2020-05-23 09:03:46"
2020-05-22,"Plungės r.",7,2.1,NA,NA,4,3,0,0,7,0,32987,2020-05-23 19:15:42,"2020-05-23 09:03:47"
2020-05-22,"Kretingos r.",59,15.8,NA,NA,22,37,27,7.2,30,2,37427,2020-05-23 19:15:42,"2020-05-23 09:03:48"
2020-05-22,"Varėnos r.",1,0.5,NA,NA,1,0,0,0,0,1,20840,2020-05-23 19:15:42,"2020-05-23 09:03:48"
2020-05-22,"Alytaus r.",7,2.7,NA,NA,4,3,0,0,7,0,25887,2020-05-23 19:15:42,"2020-05-23 09:03:49"
2020-05-22,"Raseinių r.",6,1.9,NA,NA,1,5,0,0,5,1,31225,2020-05-23 19:15:42,"2020-05-23 09:03:49"
2020-05-22,"Vilniaus m.",410,7.3,NA,NA,176,234,154,2.7,242,10,562030,2020-05-23 19:15:42,"2020-05-23 09:03:50"
2020-05-22,"Šilalės r.",3,1.4,NA,NA,2,1,0,0,3,0,21887,2020-05-23 19:15:42,"2020-05-23 09:03:51"
2020-05-22,"Klaipėdos m.",273,18.3,NA,NA,90,183,82,5.5,175,16,149157,2020-05-23 19:15:42,"2020-05-23 09:03:52"
2020-05-22,"Visagino",3,1.6,NA,NA,1,2,0,0,3,0,18250,2020-05-23 19:15:42,"2020-05-23 09:03:52"
2020-05-22,"Pasvalio r.",4,1.8,NA,NA,3,1,1,0.4,3,0,22816,2020-05-23 19:15:42,"2020-05-23 09:03:53"
2020-05-22,"Panevėžio m.",21,2.4,NA,NA,13,8,2,0.2,18,1,85878,2020-05-23 19:15:42,"2020-05-23 09:03:53"
2020-05-22,"Šiaulių m.",14,1.4,NA,NA,9,5,2,0.2,11,1,101514,2020-05-23 19:15:42,"2020-05-23 09:03:54"
2020-05-22,"Birštono",0,0,NA,NA,0,0,0,0,0,0,4069,2020-05-23 19:15:42,"2020-05-05 10:19:52"
2020-05-22,"Pakruojo r.",0,0,NA,NA,0,0,0,0,0,0,18606,2020-05-23 19:15:42,"2020-05-05 10:19:52"
2020-05-23,"Utenos r.",4,1.1,NA,NA,1,3,1,0.3,3,0,37179,2020-05-24 13:23:06,"2020-05-24 09:03:22"
2020-05-23,"Kaišiadorių r.",3,1,NA,NA,1,2,0,0,3,0,29526,2020-05-24 13:23:06,"2020-05-24 09:03:23"
2020-05-23,"Vilkaviškio r.",7,2,NA,NA,4,3,0,0,6,1,34660,2020-05-24 13:23:06,"2020-05-24 09:03:23"
2020-05-23,"Prienų r.",5,1.9,NA,NA,3,2,0,0,5,0,25802,2020-05-24 13:23:06,"2020-05-24 09:03:24"
2020-05-23,"Jonavos r.",9,2.2,NA,NA,1,8,0,0,9,0,41163,2020-05-24 13:23:06,"2020-05-24 09:03:24"
2020-05-23,"Rietavo",6,8.3,NA,NA,4,2,0,0,6,0,7258,2020-05-24 13:23:06,"2020-05-24 09:03:25"
2020-05-23,"Marijampolės",77,14.3,NA,NA,31,46,4,0.7,69,3,53772,2020-05-24 13:23:06,"2020-05-24 09:03:25"
2020-05-23,"Kauno m.",100,3.5,NA,NA,50,50,15,0.5,82,3,289380,2020-05-24 13:23:06,"2020-05-24 09:03:26"
2020-05-23,"Alytaus m.",28,5.6,NA,NA,17,11,0,0,27,1,49888,2020-05-24 13:23:06,"2020-05-24 09:03:26"
2020-05-23,"Druskininkų",1,0.5,NA,NA,0,1,0,0,1,0,19109,2020-05-24 13:23:06,"2020-05-24 09:03:27"
2020-05-23,"Joniškio r.",15,7.2,NA,NA,8,7,0,0,14,1,20726,2020-05-24 13:23:06,"2020-05-24 09:03:27"
2020-05-23,"Kazlų Rūdos",2,1.8,NA,NA,0,2,1,0.9,1,0,11337,2020-05-24 13:23:06,"2020-05-24 09:03:28"
2020-05-23,"Biržų r.",10,4.4,NA,NA,5,5,0,0,10,0,22718,2020-05-24 13:23:06,"2020-05-24 09:03:28"
2020-05-23,"Šiaulių r.",11,2.7,NA,NA,6,5,1,0.2,9,1,41442,2020-05-24 13:23:06,"2020-05-24 09:03:29"
2020-05-23,"Klaipėdos r.",55,9.1,NA,NA,24,31,9,1.5,43,3,60139,2020-05-24 13:23:06,"2020-05-24 09:03:29"
2020-05-23,"Anykščių r.",6,2.6,NA,NA,2,4,0,0,6,0,23034,2020-05-24 13:23:06,"2020-05-24 09:03:30"
2020-05-23,"Akmenės r.",5,2.7,NA,NA,3,2,0,0,5,0,18764,2020-05-24 13:23:06,"2020-05-24 09:03:30"
2020-05-23,"Molėtų r.",3,1.7,NA,NA,1,2,2,1.2,1,0,17153,2020-05-24 13:23:06,"2020-05-24 09:03:31"
2020-05-23,"Radviliškio r.",3,0.9,NA,NA,2,1,0,0,3,0,34995,2020-05-24 13:23:06,"2020-05-24 09:03:31"
2020-05-23,"Rokiškio r.",3,1.1,NA,NA,0,3,0,0,3,0,28070,2020-05-24 13:23:06,"2020-05-24 09:03:32"
2020-05-23,"Šakių r.",3,1.1,NA,NA,1,2,0,0,2,1,26698,2020-05-24 13:23:06,"2020-05-24 09:03:33"
2020-05-23,"Panevėžio r.",8,2.3,NA,NA,5,3,1,0.3,6,1,35324,2020-05-24 13:23:06,"2020-05-24 09:03:33"
2020-05-23,"Trakų r.",5,1.5,NA,NA,5,0,0,0,5,0,32546,2020-05-24 13:23:06,"2020-05-24 09:03:34"
2020-05-23,"Kupiškio r.",1,0.6,NA,NA,1,0,0,0,1,0,16356,2020-05-24 13:23:06,"2020-05-05 10:19:52"
2020-05-23,"Skuodo r.",2,1.2,NA,NA,0,2,1,0.6,1,0,16078,2020-05-24 13:23:06,"2020-05-24 09:03:34"
2020-05-23,"Palangos m.",12,7.5,NA,NA,6,6,5,3.1,6,1,16046,2020-05-24 13:23:06,"2020-05-24 09:03:35"
2020-05-23,"Pagėgių",1,1.4,NA,NA,0,1,0,0,1,0,7288,2020-05-24 13:23:06,"2020-05-24 09:03:35"
2020-05-23,"Šalčininkų r.",10,3.3,NA,NA,4,6,3,1,7,0,30520,2020-05-24 13:23:06,"2020-05-24 09:03:36"
2020-05-23,"Vilniaus r.",237,23.7,NA,NA,84,152,76,7.6,156,3,100158,2020-05-24 13:23:06,"2020-05-24 09:03:36"
2020-05-23,"Švenčionių r.",10,4.4,NA,NA,6,4,3,1.3,7,0,22932,2020-05-24 13:23:06,"2020-05-24 09:03:37"
2020-05-23,"Zarasų r.",0,0,NA,NA,0,0,0,0,0,0,14916,2020-05-24 13:23:06,"2020-05-05 10:19:52"
