"day","description","tlk","total","intensive","ventilated","oxygen_mask"
2020-10-12,"Užimtų lovų skaičius","Šiaulių TLK",1135,35,11,74
2020-10-12,"Užimtų lovų skaičius","Panevėžio TLK",1375,37,14,191
2020-10-13,"Stacionaro lovų skaičius","Vilniaus TLK",5198,226,208,1743
2020-10-13,"Stacionaro lovų skaičius","Kauno TLK",4090,157,149,1300
2020-10-13,"Stacionaro lovų skaičius","Klaipėdos TLK",3468,98,83,1017
2020-10-13,"Stacionaro lovų skaičius","Šiaulių TLK",2013,64,59,965
2020-10-13,"Stacionaro lovų skaičius","Panevėžio TLK",2444,84,65,459
2020-10-13,"Užimtų lovų skaičius","Vilniaus TLK",3546,131,101,828
2020-10-13,"Užimtų lovų skaičius","Kauno TLK",2617,95,42,552
2020-10-13,"Užimtų lovų skaičius","Klaipėdos TLK",2023,47,18,409
2020-10-13,"Užimtų lovų skaičius","Šiaulių TLK",1132,30,12,78
2020-10-13,"Užimtų lovų skaičius","Panevėžio TLK",1533,38,15,177
2020-10-14,"Stacionaro lovų skaičius","Vilniaus TLK",5208,226,208,1743
2020-10-14,"Stacionaro lovų skaičius","Kauno TLK",4241,162,154,1330
2020-10-14,"Stacionaro lovų skaičius","Klaipėdos TLK",3468,98,83,1017
2020-10-14,"Stacionaro lovų skaičius","Šiaulių TLK",2013,64,59,965
2020-10-14,"Stacionaro lovų skaičius","Panevėžio TLK",2536,87,69,472
2020-10-14,"Užimtų lovų skaičius","Vilniaus TLK",3668,139,103,821
2020-10-14,"Užimtų lovų skaičius","Kauno TLK",2753,101,44,556
2020-10-14,"Užimtų lovų skaičius","Klaipėdos TLK",2006,48,17,394
2020-10-14,"Užimtų lovų skaičius","Šiaulių TLK",1103,26,7,86
2020-10-14,"Užimtų lovų skaičius","Panevėžio TLK",1591,40,15,197
2020-10-15,"Stacionaro lovų skaičius","Vilniaus TLK",5293,229,211,1746
2020-10-15,"Stacionaro lovų skaičius","Kauno TLK",4241,162,154,1330
2020-10-15,"Stacionaro lovų skaičius","Klaipėdos TLK",3318,92,80,975
2020-10-15,"Stacionaro lovų skaičius","Šiaulių TLK",2013,64,59,965
2020-10-15,"Stacionaro lovų skaičius","Panevėžio TLK",2536,87,69,472
2020-10-15,"Užimtų lovų skaičius","Vilniaus TLK",3575,151,107,862
2020-10-15,"Užimtų lovų skaičius","Kauno TLK",2755,103,47,525
2020-10-15,"Užimtų lovų skaičius","Klaipėdos TLK",1897,46,15,395
2020-10-15,"Užimtų lovų skaičius","Šiaulių TLK",1096,24,6,80
2020-10-15,"Užimtų lovų skaičius","Panevėžio TLK",1625,41,15,174
2020-10-16,"Stacionaro lovų skaičius","Vilniaus TLK",5293,229,211,1746
2020-10-16,"Stacionaro lovų skaičius","Kauno TLK",4241,162,154,1330
2020-10-16,"Stacionaro lovų skaičius","Klaipėdos TLK",3318,92,80,975
2020-10-16,"Stacionaro lovų skaičius","Šiaulių TLK",2013,64,59,965
2020-10-16,"Stacionaro lovų skaičius","Panevėžio TLK",2536,87,69,472
2020-10-16,"Užimtų lovų skaičius","Vilniaus TLK",3575,151,107,862
2020-10-16,"Užimtų lovų skaičius","Kauno TLK",2755,103,47,525
2020-10-16,"Užimtų lovų skaičius","Klaipėdos TLK",1897,46,15,395
2020-10-16,"Užimtų lovų skaičius","Šiaulių TLK",1096,24,6,80
2020-10-16,"Užimtų lovų skaičius","Panevėžio TLK",1625,41,15,174
2020-10-17,"Stacionaro lovų skaičius","Vilniaus TLK",3945,199,186,1500
2020-10-17,"Stacionaro lovų skaičius","Kauno TLK",3663,147,137,1090
2020-10-17,"Stacionaro lovų skaičius","Klaipėdos TLK",3468,98,83,1017
2020-10-17,"Stacionaro lovų skaičius","Šiaulių TLK",1859,60,57,963
2020-10-17,"Stacionaro lovų skaičius","Panevėžio TLK",2444,84,65,459
2020-10-17,"Užimtų lovų skaičius","Vilniaus TLK",2590,117,97,650
2020-10-17,"Užimtų lovų skaičius","Kauno TLK",2110,81,40,445
2020-10-17,"Užimtų lovų skaičius","Klaipėdos TLK",1794,42,17,356
2020-10-17,"Užimtų lovų skaičius","Šiaulių TLK",954,30,6,84
2020-10-17,"Užimtų lovų skaičius","Panevėžio TLK",1528,33,14,181
2020-10-18,"Stacionaro lovų skaičius","Vilniaus TLK",4261,181,163,1278
2020-10-18,"Stacionaro lovų skaičius","Kauno TLK",4136,160,152,1269
2020-10-18,"Stacionaro lovų skaičius","Klaipėdos TLK",3468,98,83,1017
2020-10-18,"Stacionaro lovų skaičius","Šiaulių TLK",1800,59,55,948
2020-10-18,"Stacionaro lovų skaičius","Panevėžio TLK",2617,91,70,490
2020-10-18,"Užimtų lovų skaičius","Vilniaus TLK",2766,98,73,518
2020-10-18,"Užimtų lovų skaičius","Kauno TLK",2461,91,45,472
2020-10-18,"Užimtų lovų skaičius","Klaipėdos TLK",1847,46,10,364
2020-10-18,"Užimtų lovų skaičius","Šiaulių TLK",962,27,8,79
2020-10-18,"Užimtų lovų skaičius","Panevėžio TLK",1651,41,16,187
2020-10-19,"Stacionaro lovų skaičius","Vilniaus TLK",5160,224,213,1746
2020-10-19,"Stacionaro lovų skaičius","Kauno TLK",4136,160,142,1175
2020-10-19,"Stacionaro lovų skaičius","Klaipėdos TLK",3372,95,81,1022
2020-10-19,"Stacionaro lovų skaičius","Šiaulių TLK",2013,64,59,963
2020-10-19,"Stacionaro lovų skaičius","Panevėžio TLK",2617,88,72,490
2020-10-19,"Užimtų lovų skaičius","Vilniaus TLK",3453,139,93,827
2020-10-19,"Užimtų lovų skaičius","Kauno TLK",2485,89,45,472
2020-10-19,"Užimtų lovų skaičius","Klaipėdos TLK",1795,42,13,369
2020-10-19,"Užimtų lovų skaičius","Šiaulių TLK",1076,30,8,510
2020-10-19,"Užimtų lovų skaičius","Panevėžio TLK",1640,36,23,196
2020-10-20,"Stacionaro lovų skaičius","Vilniaus TLK",5107,220,206,1788
2020-10-20,"Stacionaro lovų skaičius","Kauno TLK",4130,160,152,1320
2020-10-20,"Stacionaro lovų skaičius","Klaipėdos TLK",3318,92,80,990
2020-10-20,"Stacionaro lovų skaičius","Šiaulių TLK",2013,64,59,963
2020-10-20,"Stacionaro lovų skaičius","Panevėžio TLK",2445,85,67,488
2020-10-20,"Užimtų lovų skaičius","Vilniaus TLK",3474,123,83,683
2020-10-20,"Užimtų lovų skaičius","Kauno TLK",2495,94,41,501
2020-10-20,"Užimtų lovų skaičius","Klaipėdos TLK",1785,48,9,362
2020-10-20,"Užimtų lovų skaičius","Šiaulių TLK",1108,25,9,75
2020-10-20,"Užimtų lovų skaičius","Panevėžio TLK",1559,32,19,189
2020-10-21,"Stacionaro lovų skaičius","Vilniaus TLK",5195,226,215,1814
2020-10-21,"Stacionaro lovų skaičius","Kauno TLK",4242,183,159,1954
2020-10-21,"Stacionaro lovų skaičius","Klaipėdos TLK",3468,98,83,1032
2020-10-21,"Stacionaro lovų skaičius","Šiaulių TLK",2013,64,59,963
2020-10-21,"Stacionaro lovų skaičius","Panevėžio TLK",2535,86,77,475
2020-10-21,"Užimtų lovų skaičius","Vilniaus TLK",3580,151,99,868
2020-10-21,"Užimtų lovų skaičius","Kauno TLK",2465,115,43,416
2020-10-21,"Užimtų lovų skaičius","Klaipėdos TLK",1893,50,17,364
2020-10-21,"Užimtų lovų skaičius","Šiaulių TLK",1123,26,9,77
2020-10-21,"Užimtų lovų skaičius","Panevėžio TLK",1604,32,18,174
2020-10-22,"Stacionaro lovų skaičius","Vilniaus TLK",5195,228,217,1814
2020-10-22,"Stacionaro lovų skaičius","Kauno TLK",3950,174,151,1809
2020-10-22,"Stacionaro lovų skaičius","Klaipėdos TLK",3468,98,84,1032
2020-10-22,"Stacionaro lovų skaičius","Šiaulių TLK",2013,64,59,963
2020-10-22,"Stacionaro lovų skaičius","Panevėžio TLK",2616,90,80,493
2020-10-22,"Užimtų lovų skaičius","Vilniaus TLK",3632,150,96,840
2020-10-22,"Užimtų lovų skaičius","Kauno TLK",2507,111,36,436
2020-10-22,"Užimtų lovų skaičius","Klaipėdos TLK",1864,45,17,364
2020-10-22,"Užimtų lovų skaičius","Šiaulių TLK",1103,29,13,75
2020-10-22,"Užimtų lovų skaičius","Panevėžio TLK",1671,37,23,213
2020-10-23,"Stacionaro lovų skaičius","Vilniaus TLK",5195,228,217,1814
2020-10-23,"Stacionaro lovų skaičius","Kauno TLK",3950,174,151,1809
2020-10-23,"Stacionaro lovų skaičius","Klaipėdos TLK",3468,98,84,1032
2020-10-23,"Stacionaro lovų skaičius","Šiaulių TLK",2013,64,59,963
2020-10-23,"Stacionaro lovų skaičius","Panevėžio TLK",2616,90,80,493
2020-10-23,"Užimtų lovų skaičius","Vilniaus TLK",3632,150,96,840
2020-10-23,"Užimtų lovų skaičius","Kauno TLK",2507,111,36,436
2020-10-23,"Užimtų lovų skaičius","Klaipėdos TLK",1864,45,17,364
2020-10-23,"Užimtų lovų skaičius","Šiaulių TLK",1103,29,13,75
2020-10-23,"Užimtų lovų skaičius","Panevėžio TLK",1671,37,23,213
2020-10-24,"Stacionaro lovų skaičius","Vilniaus TLK",5195,228,217,1814
2020-10-24,"Stacionaro lovų skaičius","Kauno TLK",3950,174,151,1809
2020-10-24,"Stacionaro lovų skaičius","Klaipėdos TLK",3468,98,84,1032
2020-10-24,"Stacionaro lovų skaičius","Šiaulių TLK",2013,64,59,963
2020-10-24,"Stacionaro lovų skaičius","Panevėžio TLK",2616,90,80,493
2020-10-24,"Užimtų lovų skaičius","Vilniaus TLK",3632,150,96,840
2020-10-24,"Užimtų lovų skaičius","Kauno TLK",2507,111,36,436
2020-10-24,"Užimtų lovų skaičius","Klaipėdos TLK",1864,45,17,364
2020-10-24,"Užimtų lovų skaičius","Šiaulių TLK",1103,29,13,75
2020-10-24,"Užimtų lovų skaičius","Panevėžio TLK",1671,37,23,213
2020-10-25,"Stacionaro lovų skaičius","Vilniaus TLK",4781,216,205,1639
2020-10-25,"Stacionaro lovų skaičius","Kauno TLK",4242,183,162,1954
2020-10-25,"Stacionaro lovų skaičius","Klaipėdos TLK",3468,98,84,1032
2020-10-25,"Stacionaro lovų skaičius","Šiaulių TLK",2013,64,59,963
2020-10-25,"Stacionaro lovų skaičius","Panevėžio TLK",2616,90,80,493
2020-10-25,"Užimtų lovų skaičius","Vilniaus TLK",3203,123,104,709
2020-10-25,"Užimtų lovų skaičius","Kauno TLK",2468,102,46,436
2020-10-25,"Užimtų lovų skaičius","Klaipėdos TLK",1748,39,19,345
2020-10-25,"Užimtų lovų skaičius","Šiaulių TLK",1034,29,12,76
2020-10-25,"Užimtų lovų skaičius","Panevėžio TLK",1638,38,26,215
2020-10-26,"Stacionaro lovų skaičius","Vilniaus TLK",5132,224,216,1784
2020-10-26,"Stacionaro lovų skaičius","Kauno TLK",4242,183,162,1954
2020-10-26,"Stacionaro lovų skaičius","Klaipėdos TLK",3468,98,84,1032
2020-10-26,"Stacionaro lovų skaičius","Šiaulių TLK",2005,64,59,963
2020-10-26,"Stacionaro lovų skaičius","Panevėžio TLK",2516,87,76,483
2020-10-26,"Užimtų lovų skaičius","Vilniaus TLK",3391,134,85,844
