"day","description","tlk","total","intensive","ventilated","oxygen_mask"
2020-11-08,"Stacionaro lovų skaičius","Šiaulių TLK",1851,60,58,970
2020-11-08,"Stacionaro lovų skaičius","Panevėžio TLK",2444,83,75,462
2020-11-08,"Užimtų lovų skaičius","Vilniaus TLK",2527,102,75,754
2020-11-08,"Užimtų lovų skaičius","Kauno TLK",2074,84,47,385
2020-11-08,"Užimtų lovų skaičius","Klaipėdos TLK",1395,47,17,307
2020-11-08,"Užimtų lovų skaičius","Šiaulių TLK",897,38,23,119
2020-11-08,"Užimtų lovų skaičius","Panevėžio TLK",1351,30,16,191
2020-11-09,"Stacionaro lovų skaičius","Vilniaus TLK",4360,183,171,1461
2020-11-09,"Stacionaro lovų skaičius","Kauno TLK",3403,155,138,1753
2020-11-09,"Stacionaro lovų skaičius","Klaipėdos TLK",3337,99,95,1123
2020-11-09,"Stacionaro lovų skaičius","Šiaulių TLK",2005,64,60,1004
2020-11-09,"Stacionaro lovų skaičius","Panevėžio TLK",2517,87,76,483
2020-11-09,"Užimtų lovų skaičius","Vilniaus TLK",2701,106,71,650
2020-11-09,"Užimtų lovų skaičius","Kauno TLK",1882,91,44,309
2020-11-09,"Užimtų lovų skaičius","Klaipėdos TLK",1435,46,20,329
2020-11-09,"Užimtų lovų skaičius","Šiaulių TLK",978,44,26,147
2020-11-09,"Užimtų lovų skaičius","Panevėžio TLK",1441,32,17,210
2020-11-10,"Stacionaro lovų skaičius","Vilniaus TLK",5096,228,216,1790
2020-11-10,"Stacionaro lovų skaičius","Kauno TLK",4235,183,163,1954
2020-11-10,"Stacionaro lovų skaičius","Klaipėdos TLK",3125,103,99,1043
2020-11-10,"Stacionaro lovų skaičius","Šiaulių TLK",2005,64,60,1004
2020-11-10,"Stacionaro lovų skaičius","Panevėžio TLK",2617,90,80,493
2020-11-10,"Užimtų lovų skaičius","Vilniaus TLK",3143,127,89,843
2020-11-10,"Užimtų lovų skaičius","Kauno TLK",2261,110,48,412
2020-11-10,"Užimtų lovų skaičius","Klaipėdos TLK",1517,45,20,343
2020-11-10,"Užimtų lovų skaičius","Šiaulių TLK",991,38,23,150
2020-11-10,"Užimtų lovų skaičius","Panevėžio TLK",1463,32,14,156
2020-11-11,"Stacionaro lovų skaičius","Vilniaus TLK",5018,222,210,1789
2020-11-11,"Stacionaro lovų skaičius","Kauno TLK",4235,183,163,1954
2020-11-11,"Stacionaro lovų skaičius","Klaipėdos TLK",3125,103,99,1043
2020-11-11,"Stacionaro lovų skaičius","Šiaulių TLK",2005,64,60,1004
2020-11-11,"Stacionaro lovų skaičius","Panevėžio TLK",2617,90,80,493
2020-11-11,"Užimtų lovų skaičius","Vilniaus TLK",3131,119,89,787
2020-11-11,"Užimtų lovų skaičius","Kauno TLK",2211,99,49,397
2020-11-11,"Užimtų lovų skaičius","Klaipėdos TLK",1536,50,25,346
2020-11-11,"Užimtų lovų skaičius","Šiaulių TLK",984,43,20,159
2020-11-11,"Užimtų lovų skaičius","Panevėžio TLK",1491,35,19,198
2020-11-12,"Stacionaro lovų skaičius","Vilniaus TLK",4629,222,208,1780
2020-11-12,"Stacionaro lovų skaičius","Kauno TLK",4228,183,163,1954
2020-11-12,"Stacionaro lovų skaičius","Klaipėdos TLK",3056,101,93,1046
2020-11-12,"Stacionaro lovų skaičius","Šiaulių TLK",2005,64,60,1004
2020-11-12,"Stacionaro lovų skaičius","Panevėžio TLK",2617,90,80,493
2020-11-12,"Užimtų lovų skaičius","Vilniaus TLK",2883,130,91,774
2020-11-12,"Užimtų lovų skaičius","Kauno TLK",2272,93,47,388
2020-11-12,"Užimtų lovų skaičius","Klaipėdos TLK",1530,51,25,390
2020-11-12,"Užimtų lovų skaičius","Šiaulių TLK",1006,41,17,156
2020-11-12,"Užimtų lovų skaičius","Panevėžio TLK",1484,36,22,225
2020-11-13,"Stacionaro lovų skaičius","Vilniaus TLK",4629,222,208,1780
2020-11-13,"Stacionaro lovų skaičius","Kauno TLK",4228,183,163,1954
2020-11-13,"Stacionaro lovų skaičius","Klaipėdos TLK",3056,101,93,1046
2020-11-13,"Stacionaro lovų skaičius","Šiaulių TLK",2005,64,60,1004
2020-11-13,"Stacionaro lovų skaičius","Panevėžio TLK",2617,90,80,493
2020-11-13,"Užimtų lovų skaičius","Vilniaus TLK",2883,130,91,774
2020-11-13,"Užimtų lovų skaičius","Kauno TLK",2272,93,47,388
2020-11-13,"Užimtų lovų skaičius","Klaipėdos TLK",1530,51,25,390
2020-11-13,"Užimtų lovų skaičius","Šiaulių TLK",1006,41,17,156
2020-11-13,"Užimtų lovų skaičius","Panevėžio TLK",1484,36,22,225
2020-11-14,"Stacionaro lovų skaičius","Vilniaus TLK",4629,222,208,1780
2020-11-14,"Stacionaro lovų skaičius","Kauno TLK",4228,183,163,1954
2020-11-14,"Stacionaro lovų skaičius","Klaipėdos TLK",3056,101,93,1046
2020-11-14,"Stacionaro lovų skaičius","Šiaulių TLK",2005,64,60,1004
2020-11-14,"Stacionaro lovų skaičius","Panevėžio TLK",2617,90,80,493
2020-11-14,"Užimtų lovų skaičius","Vilniaus TLK",2883,130,91,774
2020-11-14,"Užimtų lovų skaičius","Kauno TLK",2272,93,47,388
2020-11-14,"Užimtų lovų skaičius","Klaipėdos TLK",1530,51,25,390
2020-11-14,"Užimtų lovų skaičius","Šiaulių TLK",1006,41,17,156
2020-11-14,"Užimtų lovų skaičius","Panevėžio TLK",1484,36,22,225
2020-11-15,"Stacionaro lovų skaičius","Vilniaus TLK",5059,228,216,1790
2020-11-15,"Stacionaro lovų skaičius","Kauno TLK",4228,183,163,1954
2020-11-15,"Stacionaro lovų skaičius","Klaipėdos TLK",3056,97,93,1046
2020-11-15,"Stacionaro lovų skaičius","Šiaulių TLK",2003,64,59,1004
2020-11-15,"Stacionaro lovų skaičius","Panevėžio TLK",2617,90,80,493
2020-11-15,"Užimtų lovų skaičius","Vilniaus TLK",2936,139,91,609
2020-11-15,"Užimtų lovų skaičius","Kauno TLK",2067,84,41,406
2020-11-15,"Užimtų lovų skaičius","Klaipėdos TLK",1483,48,26,398
2020-11-15,"Užimtų lovų skaičius","Šiaulių TLK",1014,50,25,173
2020-11-15,"Užimtų lovų skaičius","Panevėžio TLK",1494,30,17,238
2020-11-16,"Stacionaro lovų skaičius","Vilniaus TLK",5065,234,222,1786
2020-11-16,"Stacionaro lovų skaičius","Kauno TLK",4228,183,163,1954
2020-11-16,"Stacionaro lovų skaičius","Klaipėdos TLK",3056,97,93,1046
2020-11-16,"Stacionaro lovų skaičius","Šiaulių TLK",2003,64,59,1004
2020-11-16,"Stacionaro lovų skaičius","Panevėžio TLK",2617,90,80,493
2020-11-16,"Užimtų lovų skaičius","Vilniaus TLK",2973,142,95,871
2020-11-16,"Užimtų lovų skaičius","Kauno TLK",2193,101,54,439
2020-11-16,"Užimtų lovų skaičius","Klaipėdos TLK",1480,52,27,408
2020-11-16,"Užimtų lovų skaičius","Šiaulių TLK",1015,51,24,164
2020-11-16,"Užimtų lovų skaičius","Panevėžio TLK",1494,30,15,252
2020-11-17,"Stacionaro lovų skaičius","Vilniaus TLK",4881,235,223,1786
2020-11-17,"Stacionaro lovų skaičius","Kauno TLK",4228,183,163,1954
2020-11-17,"Stacionaro lovų skaičius","Klaipėdos TLK",3056,97,93,1046
2020-11-17,"Stacionaro lovų skaičius","Šiaulių TLK",2003,64,59,1004
2020-11-17,"Stacionaro lovų skaičius","Panevėžio TLK",2617,90,80,493
2020-11-17,"Užimtų lovų skaičius","Vilniaus TLK",2697,138,97,877
2020-11-17,"Užimtų lovų skaičius","Kauno TLK",2244,98,52,433
2020-11-17,"Užimtų lovų skaičius","Klaipėdos TLK",1462,53,24,390
2020-11-17,"Užimtų lovų skaičius","Šiaulių TLK",1028,39,19,182
2020-11-17,"Užimtų lovų skaičius","Panevėžio TLK",1483,34,18,253
2020-11-18,"Stacionaro lovų skaičius","Vilniaus TLK",4881,235,223,1786
2020-11-18,"Stacionaro lovų skaičius","Kauno TLK",4228,183,163,1954
2020-11-18,"Stacionaro lovų skaičius","Klaipėdos TLK",3056,97,93,1046
2020-11-18,"Stacionaro lovų skaičius","Šiaulių TLK",2003,64,59,1004
2020-11-18,"Stacionaro lovų skaičius","Panevėžio TLK",2617,90,80,493
2020-11-18,"Užimtų lovų skaičius","Vilniaus TLK",2703,140,97,872
2020-11-18,"Užimtų lovų skaičius","Kauno TLK",2226,93,49,447
2020-11-18,"Užimtų lovų skaičius","Klaipėdos TLK",1473,54,29,404
2020-11-18,"Užimtų lovų skaičius","Šiaulių TLK",1039,45,20,186
2020-11-18,"Užimtų lovų skaičius","Panevėžio TLK",1470,41,25,222
2020-11-19,"Stacionaro lovų skaičius","Vilniaus TLK",4881,235,223,1786
2020-11-19,"Stacionaro lovų skaičius","Kauno TLK",4248,183,163,1969
2020-11-19,"Stacionaro lovų skaičius","Klaipėdos TLK",3056,97,93,1051
2020-11-19,"Stacionaro lovų skaičius","Šiaulių TLK",2003,64,59,1004
2020-11-19,"Stacionaro lovų skaičius","Panevėžio TLK",2617,90,80,493
2020-11-19,"Užimtų lovų skaičius","Vilniaus TLK",2696,154,105,938
2020-11-19,"Užimtų lovų skaičius","Kauno TLK",2305,110,46,474
2020-11-19,"Užimtų lovų skaičius","Klaipėdos TLK",1450,58,32,405
2020-11-19,"Užimtų lovų skaičius","Šiaulių TLK",1043,37,18,175
2020-11-19,"Užimtų lovų skaičius","Panevėžio TLK",1487,37,25,242
2020-11-20,"Stacionaro lovų skaičius","Vilniaus TLK",4881,235,223,1786
2020-11-20,"Stacionaro lovų skaičius","Kauno TLK",4248,183,163,1969
2020-11-20,"Stacionaro lovų skaičius","Klaipėdos TLK",3056,97,93,1051
2020-11-20,"Stacionaro lovų skaičius","Šiaulių TLK",2003,64,59,1025
2020-11-20,"Stacionaro lovų skaičius","Panevėžio TLK",2617,90,80,493
2020-11-20,"Užimtų lovų skaičius","Vilniaus TLK",2499,140,103,773
2020-11-20,"Užimtų lovų skaičius","Kauno TLK",2237,109,44,448
2020-11-20,"Užimtų lovų skaičius","Klaipėdos TLK",1398,55,28,423
2020-11-20,"Užimtų lovų skaičius","Šiaulių TLK",1001,31,21,187
2020-11-20,"Užimtų lovų skaičius","Panevėžio TLK",1426,39,25,216
2020-11-21,"Stacionaro lovų skaičius","Vilniaus TLK",4672,235,223,1718
2020-11-21,"Stacionaro lovų skaičius","Kauno TLK",4248,183,163,1969
2020-11-21,"Stacionaro lovų skaičius","Klaipėdos TLK",3056,97,93,1051
2020-11-21,"Stacionaro lovų skaičius","Šiaulių TLK",2003,64,59,1025
2020-11-21,"Stacionaro lovų skaičius","Panevėžio TLK",2617,90,80,493
2020-11-21,"Užimtų lovų skaičius","Vilniaus TLK",2704,147,105,663
2020-11-21,"Užimtų lovų skaičius","Kauno TLK",2020,96,45,417
2020-11-21,"Užimtų lovų skaičius","Klaipėdos TLK",1426,57,29,424
2020-11-21,"Užimtų lovų skaičius","Šiaulių TLK",1016,38,22,202
2020-11-21,"Užimtų lovų skaičius","Panevėžio TLK",1407,37,26,224
