"day","driving","walking"
2020-08-13,197.61,232.44
2020-08-14,224.41,239.52
2020-08-15,195.44,209.24
2020-08-16,195.6,181.88
2020-08-17,187.91,235.02
2020-08-18,182.96,214.18
2020-08-19,185.03,213.89
2020-08-20,187.32,220.27
2020-08-21,206.46,218.91
2020-08-22,188.77,196.14
2020-08-23,200.71,174.31
2020-08-24,169.11,199.8
2020-08-25,165.48,185.68
2020-08-26,166.96,185.63
2020-08-27,167.41,191.89
2020-08-28,180.53,202.95
2020-08-29,143.41,149.33
2020-08-30,135.18,135.41
2020-08-31,141.13,171.17
2020-09-01,143.49,188.91
2020-09-02,142.8,174.65
2020-09-03,151.81,192.4
2020-09-04,174.92,211
2020-09-05,156.34,199.6
2020-09-06,142.07,154.04
2020-09-07,141.33,177.63
2020-09-08,147.41,177.52
2020-09-09,147.77,199.15
2020-09-10,155.01,202.18
2020-09-11,179.97,242.27
2020-09-12,168.28,245.31
2020-09-13,152.32,203.12
2020-09-14,143.31,228.41
2020-09-15,154.12,221.69
2020-09-16,150.8,222.03
2020-09-17,149.98,192.83
2020-09-18,172.03,224.92
2020-09-19,146.47,205.36
2020-09-20,143.29,155.77
2020-09-21,137.87,183.3
2020-09-22,135.82,188.15
2020-09-23,134.76,187.95
2020-09-24,137.33,180.21
2020-09-25,167.88,223.42
2020-09-26,153.84,205.98
2020-09-27,140.5,136.29
2020-09-28,115.22,150.61
2020-09-29,117.82,150.38
2020-09-30,118.43,148.71
2020-10-01,119.13,155.29
2020-10-02,139.11,181
2020-10-03,123.84,142.5
2020-10-04,115.51,134.59
2020-10-05,109.42,135.1
2020-10-06,113.36,147.86
2020-10-07,117.5,161.21
2020-10-08,117.95,140.88
2020-10-09,140.22,169.63
2020-10-10,123.46,166.52
2020-10-11,104.56,114.91
2020-10-12,98.48,121.97
2020-10-13,102.5,111.82
2020-10-14,107.47,116.53
2020-10-15,109.47,142.08
2020-10-16,128.08,155.2
2020-10-17,111.26,134.59
2020-10-18,97.17,93.65
2020-10-19,96.02,110.72
2020-10-20,101.49,118.46
2020-10-21,102.04,117.86
2020-10-22,102.62,121.52
2020-10-23,120.27,150.1
2020-10-24,105.89,129.57
2020-10-25,99.49,106.32
2020-10-26,93.11,111.23
2020-10-27,101.52,125.97
2020-10-28,99.78,116.67
2020-10-29,101.56,112.42
2020-10-30,109.61,110.72
2020-10-31,101.19,108.7
2020-11-01,79.8,76.95
2020-11-02,78.93,75.08
2020-11-03,81.51,87.98
2020-11-04,80.18,85.03
2020-11-05,85.01,90.28
2020-11-06,95.89,108.62
2020-11-07,76.86,83.16
2020-11-08,68.7,69.21
2020-11-09,75.45,78.88
2020-11-10,78.32,79.7
2020-11-11,77.47,82.53
2020-11-12,74.77,79.27
2020-11-13,87.94,88.72
2020-11-14,81.13,81.68
2020-11-15,67.25,64.11
2020-11-16,74.14,78.54
2020-11-17,76.16,77.49
2020-11-18,84.49,82.59
2020-11-19,80.09,79.93
2020-11-20,91.94,89.68
2020-11-21,80.34,83.9
2020-11-22,63.2,54.01
2020-11-23,74.16,76.5
2020-11-24,75.96,76.84
2020-11-25,77.26,84.26
2020-11-26,75.57,77.23
2020-11-27,87.17,88.32
2020-11-28,77.65,82.39
2020-11-29,68.3,66.06
2020-11-30,77.14,75.22
2020-12-01,79.01,82.68
2020-12-02,81.99,84.58
2020-12-03,78.51,82.76
2020-12-04,91.29,94.84
2020-12-05,80.34,82.36
2020-12-06,68.01,61.64
2020-12-07,72.57,78.57
2020-12-08,79.69,82.31
2020-12-09,81.3,87.13
2020-12-10,80.29,81.8
2020-12-11,90.01,92.29
2020-12-12,80.46,73.55
2020-12-13,71.22,65.81
2020-12-14,99,105.19
2020-12-15,106.68,112.62
2020-12-16,65.76,68.67
2020-12-17,70.37,74.71
2020-12-18,72.29,78.08
2020-12-19,51.66,65.21
2020-12-20,50.31,54.44
2020-12-21,76.13,80.75
2020-12-22,85.6,89.06
2020-12-23,72.6,77.8
2020-12-24,34.66,36.04
2020-12-25,31.69,37.85
2020-12-26,36.53,46.9
2020-12-27,44.82,52.54
2020-12-28,61.9,66.77
2020-12-29,65.17,69.44
2020-12-30,67.88,76.44
2020-12-31,50.88,71.51
2021-01-01,33.53,43.35
2021-01-02,43.92,56.96
2021-01-03,48.08,59.88
2021-01-04,62.03,65.27
2021-01-05,63.71,70.26
2021-01-06,64.38,72.02
2021-01-07,62.47,73.63
2021-01-08,67.57,80.24
2021-01-09,54.01,73.38
2021-01-10,48.63,67.05
2021-01-11,59.01,69.97
2021-01-12,60.55,71.79
2021-01-13,62.03,73.41
2021-01-14,60.42,67.14
2021-01-15,60.65,64.67
2021-01-16,49.37,49.9
2021-01-17,44.41,45.7
2021-01-18,58.64,62.26
2021-01-19,58.69,63.62
2021-01-20,58.94,61.75
2021-01-21,63.52,70.65
2021-01-22,67.09,72.67
2021-01-23,53.91,65.18
2021-01-24,49.5,53.67
2021-01-25,62.19,71.93
2021-01-26,57.76,66.29
2021-01-27,55.84,65.49
2021-01-28,59.26,68.98
2021-01-29,65.99,72.07
2021-01-30,51.5,57.47
2021-01-31,48.69,51.74
2021-02-01,61.58,69.07
2021-02-02,65.06,69.04
2021-02-03,63.76,79.61
2021-02-04,64.01,69.72
2021-02-05,69.83,77.4
2021-02-06,52.52,61.36
2021-02-07,48.48,54.13
2021-02-08,62.13,67.76
2021-02-09,62.2,67.17
2021-02-10,62.91,75.5
2021-02-11,64.48,72.98
2021-02-12,68.79,76.72
2021-02-13,57.91,69.32
2021-02-14,57.73,69.92
2021-02-15,67.22,86.79
2021-02-16,59.04,76.58
2021-02-17,70.7,87.33
2021-02-18,77.7,90.13
2021-02-19,74.92,93.42
2021-02-20,60.22,76.24
2021-02-21,57.03,66.63
2021-02-22,67.95,86.48
2021-02-23,70.84,88.26
2021-02-24,71.37,88.66
