"day","administrative_level_3","0-9","10-19","20-29","30-39","40-49","50-59","60-69","70-79","80+","Nenustatyta","Total"
2020-02-02,"Šiaulių m.",0,0,0,0,0,0,0,0,0,0,0
2020-02-02,"Šiaulių r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-02,"Šilalės r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-02,"Šilutės r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-02,"Širvintų r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-03,"Akmenės r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-03,"Alytaus m.",0,0,0,0,0,0,0,0,0,0,0
2020-02-03,"Alytaus r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-03,"Anykščių r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-03,"Biržų r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-03,"Druskininkų",0,0,0,0,0,0,0,0,0,0,0
2020-02-03,"Joniškio r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-03,"Kaišiadorių r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-03,"Kalvarijos",0,0,0,0,0,0,0,0,0,0,0
2020-02-03,"Kauno m.",0,0,0,0,0,0,0,0,0,0,0
2020-02-03,"Kauno r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-03,"Kazlų Rūdos",0,0,0,0,0,0,0,0,0,0,0
2020-02-03,"Kelmės r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-03,"Klaipėdos m.",0,0,0,0,0,0,0,0,0,0,0
2020-02-03,"Klaipėdos r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-03,"Kretingos r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-03,"Kėdainių r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-03,"Lazdijų r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-03,"Marijampolės",0,0,0,0,0,0,0,0,0,0,0
2020-02-03,"Molėtų r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-03,"Palangos m.",0,0,0,0,0,0,0,0,0,0,0
2020-02-03,"Panevėžio m.",0,0,0,0,0,0,0,0,0,0,0
2020-02-03,"Panevėžio r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-03,"Prienų r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-03,"Radviliškio r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-03,"Raseinių r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-03,"Rokiškio r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-03,"Skuodo r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-03,"Tauragės r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-03,"Telšių r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-03,"Trakų r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-03,"Ukmergės r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-03,"Utenos r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-03,"Varėnos r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-03,"Vilkaviškio r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-03,"Vilniaus m.",0,0,0,0,0,0,0,0,0,0,0
2020-02-03,"Vilniaus r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-03,"Total",0,0,0,0,0,0,0,0,0,0,0
2020-02-03,"Zarasų r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-03,"Šakių r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-03,"Šalčininkų r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-03,"Šiaulių m.",0,0,0,0,0,0,0,0,0,0,0
2020-02-03,"Šilutės r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-03,"Švenčionių r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-04,"",0,0,0,0,0,0,0,0,0,0,0
2020-02-04,"Alytaus m.",0,0,0,0,0,0,0,0,0,0,0
2020-02-04,"Alytaus r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-04,"Anykščių r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-04,"Biržų r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-04,"Elektrėnų",0,0,0,0,0,0,0,0,0,0,0
2020-02-04,"Jonavos r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-04,"Joniškio r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-04,"Jurbarko r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-04,"Kalvarijos",0,0,0,0,0,0,0,0,0,0,0
2020-02-04,"Kauno m.",0,0,0,0,0,0,0,0,0,0,0
2020-02-04,"Kauno r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-04,"Kelmės r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-04,"Klaipėdos m.",0,0,0,0,0,0,0,0,0,0,0
2020-02-04,"Klaipėdos r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-04,"Kretingos r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-04,"Kėdainių r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-04,"Marijampolės",0,0,0,0,0,0,0,0,0,0,0
2020-02-04,"Neringos",0,0,0,0,0,0,0,0,0,0,0
2020-02-04,"Pagėgių",0,0,0,0,0,0,0,0,0,0,0
2020-02-04,"Palangos m.",0,0,0,0,0,0,0,0,0,0,0
2020-02-04,"Panevėžio m.",0,0,0,0,0,0,0,0,0,0,0
2020-02-04,"Panevėžio r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-04,"Pasvalio r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-04,"Prienų r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-04,"Radviliškio r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-04,"Raseinių r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-04,"Rokiškio r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-04,"Tauragės r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-04,"Trakų r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-04,"Ukmergės r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-04,"Utenos r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-04,"Vilkaviškio r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-04,"Vilniaus m.",0,0,0,0,0,0,0,0,0,0,0
2020-02-04,"Vilniaus r.",0,0,0,0,0,0,0,0,0,0,0
