"lab_name","day","test_type","tests_positive","gmp_indication","tests"
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-05-07,"1477",5,"profilaktika",2142
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-05-07,"1477",0,"kiti",1
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-05-08,"1477",0,"kiti",3
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-05-08,"1477",3,"profilaktika",2205
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-05-09,"1477",1,"profilaktika",1506
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-05-09,"1477",0,"kiti",34
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-05-10,"1477",3,"profilaktika",254
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-05-10,"1477",0,"kiti",108
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-05-11,"1477",1,"profilaktika",633
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-05-11,"1477",0,"kiti",173
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-05-12,"1477",0,"kiti",196
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-05-12,"1477",1,"profilaktika",1548
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-05-13,"1477",0,"kiti",252
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-05-13,"1477",2,"profilaktika",1527
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-05-14,"1477",0,"kiti",405
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-05-14,"1477",0,"profilaktika",1667
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-05-15,"1477",0,"kiti",384
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-05-15,"1477",0,"profilaktika",1379
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-05-16,"1477",3,"profilaktika",1128
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-05-16,"1477",0,"kiti",285
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-05-17,"1477",4,"profilaktika",449
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-05-17,"1477",0,"kiti",244
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-05-18,"1477",1,"profilaktika",547
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-05-18,"1477",0,"kiti",220
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-05-18,"1477",0,"simptomai",1
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-05-19,"1477",3,"profilaktika",1336
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-05-19,"1477",0,"kiti",220
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-05-19,"1477",0,"simptomai",2
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-05-20,"1477",0,"simptomai",32
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-05-20,"1477",0,"kiti",350
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-05-20,"1477",1,"profilaktika",836
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-05-21,"1477",1,"kiti",365
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-05-21,"1477",0,"simptomai",62
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-05-21,"1477",3,"profilaktika",1187
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-05-22,"1477",0,"simptomai",21
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-05-22,"1477",0,"profilaktika",729
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-05-22,"1477",0,"kiti",262
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-05-23,"1477",0,"kiti",207
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-05-23,"1477",0,"simptomai",29
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-05-23,"1477",0,"profilaktika",806
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-05-24,"1477",1,"profilaktika",148
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-05-24,"1477",1,"kiti",162
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-05-24,"1477",0,"simptomai",18
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-05-25,"1477",0,"profilaktika",410
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-05-25,"1477",0,"kiti",189
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-05-25,"1477",0,"simptomai",13
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-05-26,"1477",0,"simptomai",16
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-05-26,"1477",3,"profilaktika",1152
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-05-26,"1477",0,"kiti",324
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-05-27,"1477",0,"profilaktika",735
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-05-27,"1477",0,"kiti",290
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-05-27,"1477",0,"simptomai",25
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-05-28,"1477",4,"profilaktika",1125
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-05-28,"1477",0,"simptomai",35
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-05-28,"1477",0,"kiti",312
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-05-29,"1477",0,"simptomai",17
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-05-29,"1477",0,"kiti",187
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-05-29,"1477",0,"profilaktika",1067
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-05-30,"1477",1,"simptomai",8
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-05-30,"1477",0,"kiti",399
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-05-30,"1477",0,"profilaktika",989
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-05-31,"1477",2,"profilaktika",203
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-05-31,"1477",0,"kiti",194
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-05-31,"1477",0,"simptomai",8
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-06-01,"1477",1,"profilaktika",537
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-06-01,"1477",0,"simptomai",7
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-06-01,"1477",0,"kiti",243
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-06-02,"1477",0,"profilaktika",810
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-06-02,"1477",1,"kiti",227
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-06-02,"1477",0,"simptomai",16
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-06-03,"1477",0,"simptomai",35
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-06-03,"1477",0,"kontaktai",3
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-06-03,"1477",3,"profilaktika",695
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-06-03,"1477",0,"kiti",203
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-06-04,"1477",0,"simptomai",15
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-06-04,"1477",1,"profilaktika",841
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-06-04,"1477",0,"kiti",161
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-06-04,"1477",0,"kontaktai",2
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-06-05,"1477",0,"kiti",267
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-06-05,"1477",2,"profilaktika",863
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-06-05,"1477",1,"simptomai",20
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-06-05,"1477",0,"kontaktai",2
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-06-06,"1477",2,"kontaktai",3
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-06-06,"1477",1,"profilaktika",504
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-06-06,"1477",0,"kiti",55
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-06-06,"1477",0,"simptomai",17
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-06-07,"1477",0,"kiti",196
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-06-07,"1477",0,"simptomai",17
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-06-07,"1477",1,"profilaktika",260
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-06-07,"1477",0,"kontaktai",13
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-06-08,"1477",0,"kontaktai",5
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-06-08,"1477",1,"profilaktika",304
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-06-08,"1477",0,"kiti",156
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-06-08,"1477",0,"simptomai",5
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-06-09,"1477",0,"kontaktai",16
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-06-09,"1477",0,"simptomai",18
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-06-09,"1477",1,"kiti",233
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-06-09,"1477",0,"profilaktika",766
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-06-10,"1477",0,"simptomai",22
