"day","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
2020-03-18,7.02936800397951,7.02020483531226,1.56842281381339,1.73018158519699,2.72305899034677,4.68154390321714,8.72289474388286,19.72249808593,25.7702325214589
2020-03-19,5.22679141491125,4.15776075628828,1.46940561654251,1.60326882076176,2.37739457055046,3.82746293680213,6.66435013914148,13.4184717444925,16.3660507112426
2020-03-20,4.78937410710826,3.16579042211753,1.64792376684223,1.77335289271381,2.49067873864316,3.76661321588782,6.11167396667965,11.1963056175984,13.1807272531502
2020-03-21,4.42190522606749,2.57194194979392,1.62982408414571,1.74454459950237,2.46479897224765,3.67994017520967,5.68054716227715,9.59784494242731,10.9823841395516
2020-03-22,3.99188842393563,2.13685338073396,1.54665662504534,1.6460951986605,2.29973440166996,3.42693825724129,5.17072372711665,8.24541068106406,9.24248086575206
2020-03-23,3.56765017178386,1.78979369729089,1.47432562593649,1.55969520255806,2.12268893889247,3.10526974558192,4.62034112485593,7.12390794825448,7.87425215010356
2020-03-24,3.18395655043168,1.49496405750118,1.41990784500115,1.49389135138139,1.97353958701306,2.79872254972732,4.07984159067005,6.15315580843643,6.75609964273328
2020-03-25,2.97040489909864,1.28581774977086,1.43487974825936,1.50124915950641,1.92942192352058,2.64925486202634,3.74676447387977,5.51760644807215,6.02592396806727
2020-03-26,2.43618300835393,0.972851085683898,1.23452061233063,1.29072579751859,1.64603698672757,2.21236476362241,3.0346930439977,4.34079558184481,4.71083790792018
2020-03-27,2.11777534390456,0.738934575008644,1.20876061019585,1.25364676702269,1.51284939945929,1.94101998313874,2.57791906114651,3.57054094116168,3.83664782961333
2020-03-28,1.80127091385011,0.534244800628672,1.1250599706223,1.16382470179569,1.3670487132281,1.67627512713536,2.13404609017369,2.85430726054135,3.037571961132
2020-03-29,1.6104384501685,0.390746407890104,1.1041213633877,1.13758151372211,1.29639249062408,1.51845699545491,1.85417050200288,2.38202423706586,2.51033617135445
2020-03-30,1.43922609128888,0.281878455762643,1.05518363749352,1.08526445020416,1.21628807116782,1.37772256846613,1.61660400079366,1.99170624475592,2.08119985995488
2020-03-31,1.30687909018968,0.20371371328307,1.01485071364217,1.04201908345912,1.14858809596059,1.26616151132564,1.43573367355248,1.70063870053943,1.76676552369425
2020-04-01,1.25755167662446,0.154594287825953,1.02432894742424,1.04898819559526,1.14055952506936,1.22994678108022,1.35500351825768,1.55198957444258,1.60495804374323
2020-04-02,1.26764397869722,0.128258453329758,1.0618483925298,1.08603722739899,1.17241938585498,1.25008592722213,1.34970316885311,1.50508019540829,1.55090625185161
2020-04-03,1.21513233074903,0.112670770979039,1.02276108432417,1.04672927964406,1.13228065227581,1.20557647004039,1.28944311270198,1.41528476169611,1.45443900201207
2020-04-04,1.13966370058317,0.097120788625563,0.969641344018539,0.991643340333389,1.06899126727835,1.13315433955241,1.20423518963762,1.30959619252374,1.34312188160053
2020-04-05,1.06266093475505,0.0808325444120183,0.919448517195056,0.93899654928331,1.00481325859906,1.05731124342726,1.11544694440506,1.20420041806174,1.23280518448761
2020-04-06,1.00532881381904,0.0672651912453,0.882078574268543,0.900155559833358,0.958557941477046,1.0021712616021,1.04884268156816,1.12125868925436,1.14591723734578
2020-04-07,0.976158239560506,0.0602699732939998,0.862468864518696,0.879526784758792,0.934747882483384,0.974630271055488,1.01603418271968,1.07783305863155,1.09861068295251
2020-04-08,0.879585508453578,0.055684483850564,0.773688534131037,0.789970298721267,0.841398130511442,0.878464535241675,0.91653767252343,0.973069967997004,0.992030773254611
2020-04-09,0.849508584256086,0.0616429357373508,0.736854706654167,0.753131151946886,0.806670549962955,0.846600564666683,0.889285494690119,0.955918780350307,0.978627629208707
2020-04-10,0.799784926323011,0.0670853872159027,0.680188425820603,0.697001801299432,0.752325925782695,0.795308975161133,0.843232593919906,0.917490353593381,0.941525740314991
2020-04-11,0.807107930040746,0.0780425077905274,0.672924867306651,0.690386249815612,0.75057325976108,0.800093452302362,0.857800605833234,0.946452295880257,0.973885392332907
2020-04-12,0.783708884739907,0.0803611892970875,0.6432805146026,0.661419820854315,0.724761571041748,0.778023834767817,0.837877233617242,0.92397371283861,0.950902854517221
2020-04-13,0.72515411388797,0.0800347962385285,0.585166003282974,0.603149107160277,0.666456547515633,0.719712642530717,0.779114263896191,0.864858521050785,0.891502121514612
2020-04-14,0.691817346272277,0.0864170737430671,0.546048018963628,0.564064973347,0.628049094724087,0.683476052965356,0.748786027616478,0.846455071717058,0.876547810111858
2020-04-15,0.699178013471583,0.0969555232327179,0.540323102435069,0.558981060367941,0.626697350761907,0.687698820313511,0.763239088533983,0.874693206514162,0.907688280084453
2020-04-16,0.704055972955928,0.101579762880259,0.536169541523011,0.555575198902642,0.627044186838093,0.693485834050103,0.773399560350929,0.885063185004396,0.917983678816233
2020-04-17,0.809131081793024,0.116100676857994,0.614482469238303,0.636704396960751,0.720339476591251,0.79913219198414,0.890161207555358,1.01279243114019,1.04834999620813
2020-04-18,1.0364334507564,0.125536343607278,0.80905826778787,0.836276766349371,0.942153318050036,1.03530530434118,1.12671848064773,1.2442227637956,1.27997299937963
2020-04-19,1.06097279655884,0.099093643774085,0.874599890608647,0.901957966945395,0.992727821925762,1.058739336399,1.1258096421748,1.2281779961446,1.26335278667536
2020-04-20,1.31010877409156,0.103715087927714,1.12539136513126,1.15206211074599,1.23811206307521,1.30332869562166,1.37458469262694,1.49207319949796,1.53400234098993
