"day","age_group","confirmed","confirmed_100k","confirmed_male","confirmed_male_100k","confirmed_female","confirmed_female_100k","other","total","population","population_male","population_female"
2020-10-08,"0-9",154,53.1,74,49.7,80,56.7,0,154,290102,148908,141194
2020-10-08,"10-19",341,129.4,180,133.4,161,125.2,0,341,263568,134947,128621
2020-10-08,"20-29",875,257.6,434,244.6,441,271.8,0,875,339736,177466,162270
2020-10-08,"30-39",969,269.7,497,263,472,277.2,0,969,359239,188972,170267
2020-10-08,"40-49",1034,279.7,443,240.9,591,318,0,1034,369722,183873,185849
2020-10-08,"50-59",1117,266.6,445,226.5,672,301.9,0,1117,419039,196469,222570
2020-10-08,"60-69",682,194.2,286,193.5,396,194.6,0,682,351248,147788,203460
2020-10-08,"70-79",282,119,123,150.6,159,102.4,0,282,236890,81674,155216
2020-10-08,"Virš 80",304,184.8,88,198.8,216,179.6,0,304,164546,44257,120289
2020-10-09,"0-9",165,56.9,78,52.4,87,61.6,0,165,290102,148908,141194
2020-10-09,"10-19",357,135.4,188,139.3,169,131.4,0,357,263568,134947,128621
2020-10-09,"20-29",893,262.9,445,250.8,448,276.1,0,893,339736,177466,162270
2020-10-09,"30-39",1002,278.9,516,273.1,486,285.4,0,1002,359239,188972,170267
2020-10-09,"40-49",1072,289.9,459,249.6,613,329.8,0,1072,369722,183873,185849
2020-10-09,"50-59",1162,277.3,458,233.1,704,316.3,0,1162,419039,196469,222570
2020-10-09,"60-69",708,201.6,296,200.3,412,202.5,0,708,351248,147788,203460
2020-10-09,"70-79",291,122.8,125,153,166,106.9,0,291,236890,81674,155216
2020-10-09,"Virš 80",313,190.2,88,198.8,225,187,0,313,164546,44257,120289
2020-10-10,"0-9",170,58.6,79,53.1,91,64.5,0,170,290102,148908,141194
2020-10-10,"10-19",380,144.2,198,146.7,182,141.5,0,380,263568,134947,128621
2020-10-10,"20-29",916,269.6,459,258.6,457,281.6,0,916,339736,177466,162270
2020-10-10,"30-39",1024,285,528,279.4,496,291.3,0,1024,359239,188972,170267
2020-10-10,"40-49",1105,298.9,471,256.2,634,341.1,0,1105,369722,183873,185849
2020-10-10,"50-59",1195,285.2,468,238.2,727,326.6,0,1195,419039,196469,222570
2020-10-10,"60-69",723,205.8,301,203.7,422,207.4,0,723,351248,147788,203460
2020-10-10,"70-79",296,125,125,153,171,110.2,0,296,236890,81674,155216
2020-10-10,"Virš 80",313,190.2,88,198.8,225,187,0,313,164546,44257,120289
2020-10-11,"0-9",174,60,81,54.4,93,65.9,0,174,290102,148908,141194
2020-10-11,"10-19",389,147.6,202,149.7,187,145.4,0,389,263568,134947,128621
2020-10-11,"20-29",938,276.1,470,264.8,468,288.4,0,938,339736,177466,162270
2020-10-11,"30-39",1041,289.8,535,283.1,506,297.2,0,1041,359239,188972,170267
2020-10-11,"40-49",1127,304.8,482,262.1,645,347.1,0,1127,369722,183873,185849
2020-10-11,"50-59",1225,292.3,482,245.3,743,333.8,0,1225,419039,196469,222570
2020-10-11,"60-69",734,209,304,205.7,430,211.3,0,734,351248,147788,203460
2020-10-11,"70-79",300,126.6,127,155.5,173,111.5,0,300,236890,81674,155216
2020-10-11,"Virš 80",320,194.5,90,203.4,229,190.4,1,319,164546,44257,120289
2020-10-12,"0-9",182,62.7,86,57.8,96,68,0,182,290102,148908,141194
2020-10-12,"10-19",399,151.4,209,154.9,190,147.7,0,399,263568,134947,128621
2020-10-12,"20-29",952,280.2,478,269.3,474,292.1,0,952,339736,177466,162270
2020-10-12,"30-39",1061,295.3,541,286.3,520,305.4,0,1061,359239,188972,170267
2020-10-12,"40-49",1153,311.9,495,269.2,658,354.1,0,1153,369722,183873,185849
2020-10-12,"50-59",1241,296.2,492,250.4,749,336.5,0,1241,419039,196469,222570
2020-10-12,"60-69",749,213.2,311,210.4,438,215.3,0,749,351248,147788,203460
2020-10-12,"70-79",308,130,130,159.2,178,114.7,0,308,236890,81674,155216
2020-10-12,"Virš 80",321,195.1,90,203.4,230,191.2,1,320,164546,44257,120289
2020-10-13,"0-9",184,63.4,88,59.1,96,68,0,184,290102,148908,141194
2020-10-13,"10-19",410,155.6,215,159.3,195,151.6,0,410,263568,134947,128621
2020-10-13,"20-29",970,285.5,486,273.9,484,298.3,0,970,339736,177466,162270
2020-10-13,"30-39",1080,300.6,551,291.6,529,310.7,0,1080,359239,188972,170267
2020-10-13,"40-49",1178,318.6,504,274.1,674,362.7,0,1178,369722,183873,185849
2020-10-13,"50-59",1266,302.1,497,253,769,345.5,0,1266,419039,196469,222570
2020-10-13,"60-69",772,219.8,322,217.9,450,221.2,0,772,351248,147788,203460
2020-10-13,"70-79",320,135.1,136,166.5,184,118.5,0,320,236890,81674,155216
2020-10-13,"Virš 80",325,197.5,90,203.4,232,192.9,3,322,164546,44257,120289
2020-10-14,"0-9",197,67.9,96,64.5,101,71.5,0,197,290102,148908,141194
2020-10-14,"10-19",427,162,225,166.7,202,157.1,0,427,263568,134947,128621
2020-10-14,"20-29",1014,298.5,514,289.6,500,308.1,0,1014,339736,177466,162270
2020-10-14,"30-39",1126,313.4,580,306.9,546,320.7,0,1126,359239,188972,170267
2020-10-14,"40-49",1226,331.6,525,285.5,701,377.2,0,1226,369722,183873,185849
2020-10-14,"50-59",1296,309.3,510,259.6,786,353.1,0,1296,419039,196469,222570
2020-10-14,"60-69",807,229.8,342,231.4,465,228.5,0,807,351248,147788,203460
2020-10-14,"70-79",334,141,143,175.1,191,123.1,0,334,236890,81674,155216
2020-10-14,"Virš 80",333,202.4,92,207.9,237,197,4,329,164546,44257,120289
2020-10-15,"0-9",212,73.1,101,67.8,111,78.6,0,212,290102,148908,141194
2020-10-15,"10-19",450,170.7,241,178.6,209,162.5,0,450,263568,134947,128621
2020-10-15,"20-29",1039,305.8,528,297.5,511,314.9,0,1039,339736,177466,162270
2020-10-15,"30-39",1161,323.2,592,313.3,569,334.2,0,1161,359239,188972,170267
2020-10-15,"40-49",1276,345.1,546,296.9,730,392.8,0,1276,369722,183873,185849
2020-10-15,"50-59",1340,319.8,528,268.7,812,364.8,0,1340,419039,196469,222570
2020-10-15,"60-69",852,242.6,362,244.9,490,240.8,0,852,351248,147788,203460
2020-10-15,"70-79",356,150.3,155,189.8,201,129.5,0,356,236890,81674,155216
2020-10-15,"Virš 80",355,215.7,99,223.7,252,209.5,4,351,164546,44257,120289
2020-10-16,"0-9",224,77.2,109,73.2,115,81.4,0,224,290102,148908,141194
2020-10-16,"10-19",471,178.7,251,186,220,171,0,471,263568,134947,128621
2020-10-16,"20-29",1072,315.5,543,306,529,326,0,1072,339736,177466,162270
2020-10-16,"30-39",1206,335.7,613,324.4,593,348.3,0,1206,359239,188972,170267
2020-10-16,"40-49",1309,354,556,302.4,753,405.2,0,1309,369722,183873,185849
2020-10-16,"50-59",1381,329.6,537,273.3,844,379.2,0,1381,419039,196469,222570
2020-10-16,"60-69",874,248.8,368,249,506,248.7,0,874,351248,147788,203460
2020-10-16,"70-79",368,155.3,160,195.9,208,134,0,368,236890,81674,155216
2020-10-16,"Virš 80",364,221.2,102,230.5,258,214.5,4,360,164546,44257,120289
2020-10-17,"0-9",243,83.8,119,79.9,124,87.8,0,243,290102,148908,141194
2020-10-17,"10-19",487,184.8,260,192.7,227,176.5,0,487,263568,134947,128621
2020-10-17,"20-29",1102,324.4,554,312.2,548,337.7,0,1102,339736,177466,162270
2020-10-17,"30-39",1258,350.2,638,337.6,620,364.1,0,1258,359239,188972,170267
2020-10-17,"40-49",1355,366.5,578,314.3,777,418.1,0,1355,369722,183873,185849
2020-10-17,"50-59",1418,338.4,553,281.5,865,388.6,0,1418,419039,196469,222570
2020-10-17,"60-69",906,257.9,380,257.1,526,258.5,0,906,351248,147788,203460
2020-10-17,"70-79",376,158.7,164,200.8,212,136.6,0,376,236890,81674,155216
2020-10-17,"Virš 80",376,228.5,105,237.3,267,222,4,372,164546,44257,120289
2020-10-18,"0-9",251,86.5,125,83.9,126,89.2,0,251,290102,148908,141194
2020-10-18,"10-19",513,194.6,272,201.6,241,187.4,0,513,263568,134947,128621
2020-10-18,"20-29",1127,331.7,561,316.1,566,348.8,0,1127,339736,177466,162270
2020-10-18,"30-39",1299,361.6,659,348.7,640,375.9,0,1299,359239,188972,170267
2020-10-18,"40-49",1387,375.1,590,320.9,797,428.8,0,1387,369722,183873,185849
2020-10-18,"50-59",1453,346.7,569,289.6,884,397.2,0,1453,419039,196469,222570
2020-10-18,"60-69",934,265.9,391,264.6,543,266.9,0,934,351248,147788,203460
2020-10-18,"70-79",382,161.3,166,203.2,216,139.2,0,382,236890,81674,155216
2020-10-18,"Virš 80",380,230.9,108,244,268,222.8,4,376,164546,44257,120289
2020-10-19,"0-9",260,89.6,129,86.6,131,92.8,0,260,290102,148908,141194
2020-10-19,"10-19",531,201.5,287,212.7,244,189.7,0,531,263568,134947,128621
2020-10-19,"20-29",1163,342.3,578,325.7,585,360.5,0,1163,339736,177466,162270
2020-10-19,"30-39",1332,370.8,675,357.2,657,385.9,0,1332,359239,188972,170267
2020-10-19,"40-49",1424,385.2,606,329.6,818,440.1,0,1424,369722,183873,185849
2020-10-19,"50-59",1490,355.6,584,297.2,906,407.1,0,1490,419039,196469,222570
2020-10-19,"60-69",953,271.3,399,270,554,272.3,0,953,351248,147788,203460
2020-10-19,"70-79",389,164.2,168,205.7,221,142.4,0,389,236890,81674,155216
2020-10-19,"Virš 80",386,234.6,110,248.5,273,227,3,383,164546,44257,120289
2020-10-20,"0-9",268,92.4,134,90,134,94.9,0,268,290102,148908,141194
2020-10-20,"10-19",551,209.1,299,221.6,252,195.9,0,551,263568,134947,128621
2020-10-20,"20-29",1209,355.9,601,338.7,608,374.7,0,1209,339736,177466,162270
2020-10-20,"30-39",1388,386.4,707,374.1,681,400,0,1388,359239,188972,170267
2020-10-20,"40-49",1478,399.8,621,337.7,857,461.1,0,1478,369722,183873,185849
2020-10-20,"50-59",1547,369.2,603,306.9,944,424.1,0,1547,419039,196469,222570
2020-10-20,"60-69",999,284.4,415,280.8,584,287,0,999,351248,147788,203460
2020-10-20,"70-79",403,170.1,173,211.8,230,148.2,0,403,236890,81674,155216
2020-10-20,"Virš 80",396,240.7,112,253.1,281,233.6,3,393,164546,44257,120289
2020-10-21,"0-9",268,92.4,134,90,134,94.9,0,268,290102,148908,141194
2020-10-21,"10-19",551,209.1,299,221.6,252,195.9,0,551,263568,134947,128621
2020-10-21,"20-29",1209,355.9,601,338.7,608,374.7,0,1209,339736,177466,162270
2020-10-21,"30-39",1388,386.4,707,374.1,681,400,0,1388,359239,188972,170267
2020-10-21,"40-49",1478,399.8,621,337.7,857,461.1,0,1478,369722,183873,185849
2020-10-21,"50-59",1547,369.2,603,306.9,944,424.1,0,1547,419039,196469,222570
2020-10-21,"60-69",999,284.4,415,280.8,584,287,0,999,351248,147788,203460
2020-10-21,"70-79",403,170.1,173,211.8,230,148.2,0,403,236890,81674,155216
2020-10-21,"Virš 80",396,240.7,112,253.1,281,233.6,3,393,164546,44257,120289
2020-10-22,"0-9",300,103.4,150,100.7,150,106.2,0,300,290102,148908,141194
2020-10-22,"10-19",629,238.6,346,256.4,283,220,0,629,263568,134947,128621
2020-10-22,"20-29",1307,384.7,652,367.4,655,403.6,0,1307,339736,177466,162270
2020-10-22,"30-39",1528,425.3,770,407.5,758,445.2,0,1528,359239,188972,170267
2020-10-22,"40-49",1604,433.8,671,364.9,933,502,0,1604,369722,183873,185849
2020-10-22,"50-59",1671,398.8,657,334.4,1014,455.6,0,1671,419039,196469,222570
2020-10-22,"60-69",1094,311.5,451,305.2,643,316,0,1094,351248,147788,203460
2020-10-22,"70-79",436,184.1,188,230.2,248,159.8,0,436,236890,81674,155216
2020-10-22,"Virš 80",434,263.8,127,287,306,254.4,1,433,164546,44257,120289
2020-10-23,"0-9",315,108.6,159,106.8,156,110.5,0,315,290102,148908,141194
2020-10-23,"10-19",683,259.1,374,277.1,309,240.2,0,683,263568,134947,128621
2020-10-23,"20-29",1391,409.4,692,389.9,699,430.8,0,1391,339736,177466,162270
2020-10-23,"30-39",1643,457.4,815,431.3,828,486.3,0,1643,359239,188972,170267
2020-10-23,"40-49",1717,464.4,717,389.9,1000,538.1,0,1717,369722,183873,185849
2020-10-23,"50-59",1773,423.1,688,350.2,1085,487.5,0,1773,419039,196469,222570
2020-10-23,"60-69",1159,330,480,324.8,679,333.7,0,1159,351248,147788,203460
2020-10-23,"70-79",454,191.7,193,236.3,261,168.2,0,454,236890,81674,155216
2020-10-23,"Virš 80",443,269.2,129,291.5,314,261,0,443,164546,44257,120289
2020-10-24,"0-9",328,113.1,167,112.1,161,114,0,328,290102,148908,141194
2020-10-24,"10-19",716,271.7,394,292,322,250.3,0,716,263568,134947,128621
2020-10-24,"20-29",1450,426.8,725,408.5,725,446.8,0,1450,339736,177466,162270
2020-10-24,"30-39",1721,479.1,851,450.3,870,511,0,1721,359239,188972,170267
2020-10-24,"40-49",1802,487.4,746,405.7,1056,568.2,0,1802,369722,183873,185849
2020-10-24,"50-59",1840,439.1,717,364.9,1123,504.6,0,1840,419039,196469,222570
2020-10-24,"60-69",1201,341.9,499,337.6,702,345,0,1201,351248,147788,203460
2020-10-24,"70-79",469,198,201,246.1,268,172.7,0,469,236890,81674,155216
2020-10-24,"Virš 80",466,283.2,134,302.8,331,275.2,1,465,164546,44257,120289
2020-10-25,"0-9",371,127.9,190,127.6,181,128.2,0,371,290102,148908,141194
2020-10-25,"10-19",798,302.8,438,324.6,360,279.9,0,798,263568,134947,128621
2020-10-25,"20-29",1591,468.3,802,451.9,789,486.2,0,1591,339736,177466,162270
2020-10-25,"30-39",1891,526.4,929,491.6,962,565,0,1891,359239,188972,170267
2020-10-25,"40-49",1988,537.7,829,450.9,1159,623.6,0,1988,369722,183873,185849
2020-10-25,"50-59",2006,478.7,788,401.1,1218,547.2,0,2006,419039,196469,222570
2020-10-25,"60-69",1299,369.8,530,358.6,769,378,0,1299,351248,147788,203460
2020-10-25,"70-79",498,210.2,213,260.8,285,183.6,0,498,236890,81674,155216
2020-10-25,"Virš 80",514,312.4,143,323.1,361,300.1,10,504,164546,44257,120289
2020-10-26,"0-9",386,133.1,200,134.3,186,131.7,0,386,290102,148908,141194
2020-10-26,"10-19",825,313,452,334.9,373,290,0,825,263568,134947,128621
2020-10-26,"20-29",1669,491.3,843,475,826,509,0,1669,339736,177466,162270
2020-10-26,"30-39",1964,546.7,960,508,1004,589.7,0,1964,359239,188972,170267
2020-10-26,"40-49",2068,559.3,866,471,1202,646.8,0,2068,369722,183873,185849
2020-10-26,"50-59",2073,494.7,812,413.3,1261,566.6,0,2073,419039,196469,222570
2020-10-26,"60-69",1341,381.8,554,374.9,787,386.8,0,1341,351248,147788,203460
2020-10-26,"70-79",515,217.4,223,273,292,188.1,0,515,236890,81674,155216
2020-10-26,"Virš 80",525,319.1,147,332.2,369,306.8,9,516,164546,44257,120289
2020-10-27,"0-9",411,141.7,210,141,201,142.4,0,411,290102,148908,141194
2020-10-27,"10-19",863,327.4,474,351.2,389,302.4,0,863,263568,134947,128621
2020-10-27,"20-29",1797,528.9,905,510,892,549.7,0,1797,339736,177466,162270
2020-10-27,"30-39",2117,589.3,1029,544.5,1088,639,0,2117,359239,188972,170267
2020-10-27,"40-49",2209,597.5,926,503.6,1283,690.3,0,2209,369722,183873,185849
2020-10-27,"50-59",2229,531.9,867,441.3,1362,611.9,0,2229,419039,196469,222570
2020-10-27,"60-69",1427,406.3,595,402.6,832,408.9,0,1427,351248,147788,203460
2020-10-27,"70-79",544,229.6,238,291.4,306,197.1,0,544,236890,81674,155216
2020-10-27,"Virš 80",545,331.2,157,354.7,380,315.9,8,537,164546,44257,120289
2020-10-28,"0-9",442,152.4,224,150.4,218,154.4,0,442,290102,148908,141194
2020-10-28,"10-19",932,353.6,512,379.4,420,326.5,0,932,263568,134947,128621
2020-10-28,"20-29",1942,571.6,976,550,966,595.3,0,1942,339736,177466,162270
2020-10-28,"30-39",2281,635,1112,588.4,1169,686.6,0,2281,359239,188972,170267
2020-10-28,"40-49",2351,635.9,983,534.6,1368,736.1,0,2351,369722,183873,185849
2020-10-28,"50-59",2402,573.2,932,474.4,1470,660.5,0,2402,419039,196469,222570
2020-10-28,"60-69",1526,434.5,638,431.7,888,436.4,0,1526,351248,147788,203460
2020-10-28,"70-79",569,240.2,252,308.5,317,204.2,0,569,236890,81674,155216
2020-10-28,"Virš 80",568,345.2,163,368.3,398,330.9,7,561,164546,44257,120289
2020-10-29,"0-9",466,160.6,238,159.8,228,161.5,0,466,290102,148908,141194
2020-10-29,"10-19",976,370.3,530,392.7,446,346.8,0,976,263568,134947,128621
2020-10-29,"20-29",2080,612.2,1041,586.6,1039,640.3,0,2080,339736,177466,162270
2020-10-29,"30-39",2446,680.9,1188,628.7,1258,738.8,0,2446,359239,188972,170267
2020-10-29,"40-49",2472,668.6,1036,563.4,1436,772.7,0,2472,369722,183873,185849
2020-10-29,"50-59",2565,612.1,979,498.3,1586,712.6,0,2565,419039,196469,222570
2020-10-29,"60-69",1623,462.1,678,458.8,945,464.5,0,1623,351248,147788,203460
2020-10-29,"70-79",605,255.4,265,324.5,340,219,0,605,236890,81674,155216
2020-10-29,"Virš 80",590,358.6,171,386.4,411,341.7,8,582,164546,44257,120289
2020-10-30,"0-9",504,173.7,259,173.9,245,173.5,0,504,290102,148908,141194
2020-10-30,"10-19",1032,391.5,559,414.2,473,367.7,0,1032,263568,134947,128621
2020-10-30,"20-29",2249,662,1130,636.7,1119,689.6,0,2249,339736,177466,162270
2020-10-30,"30-39",2642,735.4,1284,679.5,1358,797.6,0,2642,359239,188972,170267
2020-10-30,"40-49",2663,720.3,1122,610.2,1541,829.2,0,2663,369722,183873,185849
2020-10-30,"50-59",2727,650.8,1043,530.9,1684,756.6,0,2727,419039,196469,222570
2020-10-30,"60-69",1741,495.7,727,491.9,1014,498.4,0,1741,351248,147788,203460
2020-10-30,"70-79",640,270.2,278,340.4,362,233.2,0,640,236890,81674,155216
2020-10-30,"Virš 80",625,379.8,181,409,432,359.1,12,613,164546,44257,120289
2020-10-31,"0-9",529,182.3,277,186,252,178.5,0,529,290102,148908,141194
2020-10-31,"10-19",1064,403.7,574,425.4,490,381,0,1064,263568,134947,128621
2020-10-31,"20-29",2409,709.1,1205,679,1204,742,0,2409,339736,177466,162270
2020-10-31,"30-39",2796,778.3,1348,713.3,1448,850.4,0,2796,359239,188972,170267
2020-10-31,"40-49",2822,763.3,1191,647.7,1631,877.6,0,2822,369722,183873,185849
2020-10-31,"50-59",2896,691.1,1107,563.4,1789,803.8,0,2896,419039,196469,222570
2020-10-31,"60-69",1842,524.4,765,517.6,1077,529.3,0,1842,351248,147788,203460
2020-10-31,"70-79",668,282,287,351.4,381,245.5,0,668,236890,81674,155216
2020-10-31,"Virš 80",668,406,189,427.1,450,374.1,29,639,164546,44257,120289
2020-11-01,"0-9",562,193.7,290,194.8,272,192.6,0,562,290102,148908,141194
2020-11-01,"10-19",1108,420.4,593,439.4,515,400.4,0,1108,263568,134947,128621
2020-11-01,"20-29",2554,751.8,1269,715.1,1285,791.9,0,2554,339736,177466,162270
2020-11-01,"30-39",2969,826.5,1437,760.4,1532,899.8,0,2969,359239,188972,170267
2020-11-01,"40-49",2957,799.8,1236,672.2,1721,926,0,2957,369722,183873,185849
2020-11-01,"50-59",3057,729.5,1173,597,1884,846.5,0,3057,419039,196469,222570
2020-11-01,"60-69",1937,551.5,799,540.6,1138,559.3,0,1937,351248,147788,203460
2020-11-01,"70-79",701,295.9,299,366.1,402,259,0,701,236890,81674,155216
2020-11-01,"Virš 80",711,432.1,196,442.9,484,402.4,31,680,164546,44257,120289
2020-11-02,"0-9",586,202,304,204.2,282,199.7,0,586,290102,148908,141194
2020-11-02,"10-19",1151,436.7,608,450.5,543,422.2,0,1151,263568,134947,128621
2020-11-02,"20-29",2688,791.2,1339,754.5,1349,831.3,0,2688,339736,177466,162270
2020-11-02,"30-39",3102,863.5,1505,796.4,1597,937.9,0,3102,359239,188972,170267
2020-11-02,"40-49",3092,836.3,1300,707,1792,964.2,0,3092,369722,183873,185849
2020-11-02,"50-59",3169,756.3,1223,622.5,1946,874.3,0,3169,419039,196469,222570
2020-11-02,"60-69",2011,572.5,827,559.6,1184,581.9,0,2011,351248,147788,203460
2020-11-02,"70-79",729,307.7,312,382,417,268.7,0,729,236890,81674,155216
2020-11-02,"Virš 80",732,444.9,200,451.9,500,415.7,32,700,164546,44257,120289
2020-11-03,"0-9",594,204.8,309,207.5,285,201.8,0,594,290102,148908,141194
2020-11-03,"10-19",1198,454.5,637,472,561,436.2,0,1198,263568,134947,128621
2020-11-03,"20-29",2821,830.4,1395,786.1,1426,878.8,0,2821,339736,177466,162270
2020-11-03,"30-39",3255,906.1,1585,838.7,1670,980.8,0,3255,359239,188972,170267
2020-11-03,"40-49",3252,879.6,1365,742.4,1887,1015.3,0,3252,369722,183873,185849
2020-11-03,"50-59",3295,786.3,1268,645.4,2027,910.7,0,3295,419039,196469,222570
2020-11-03,"60-69",2103,598.7,864,584.6,1239,609,0,2103,351248,147788,203460
2020-11-03,"70-79",775,327.2,334,408.9,441,284.1,0,775,236890,81674,155216
2020-11-03,"Virš 80",773,469.8,214,483.5,524,435.6,35,738,164546,44257,120289
