"day","age_group","confirmed","confirmed_100k","confirmed_male","confirmed_male_100k","confirmed_female","confirmed_female_100k","other","total","population","population_male","population_female"
2020-09-16,"40-49",635,171.8,278,151.2,357,192.1,0,635,369722,183873,185849
2020-09-16,"50-59",688,164.2,283,144,405,182,0,688,419039,196469,222570
2020-09-16,"60-69",419,119.3,179,121.1,240,118,0,419,351248,147788,203460
2020-09-16,"70-79",171,72.2,70,85.7,101,65.1,0,171,236890,81674,155216
2020-09-16,"Virš 80",197,119.7,61,137.8,136,113.1,0,197,164546,44257,120289
2020-09-17,"0-9",82,28.3,43,28.9,39,27.6,0,82,290102,148908,141194
2020-09-17,"10-19",202,76.6,114,84.5,88,68.4,0,202,263568,134947,128621
2020-09-17,"20-29",572,168.4,298,167.9,274,168.9,0,572,339736,177466,162270
2020-09-17,"30-39",570,158.7,312,165.1,258,151.5,0,570,359239,188972,170267
2020-09-17,"40-49",647,175,280,152.3,367,197.5,0,647,369722,183873,185849
2020-09-17,"50-59",694,165.6,287,146.1,407,182.9,0,694,419039,196469,222570
2020-09-17,"60-69",430,122.4,183,123.8,247,121.4,0,430,351248,147788,203460
2020-09-17,"70-79",171,72.2,70,85.7,101,65.1,0,171,236890,81674,155216
2020-09-17,"Virš 80",197,119.7,61,137.8,136,113.1,0,197,164546,44257,120289
2020-09-18,"0-9",88,30.3,45,30.2,43,30.5,0,88,290102,148908,141194
2020-09-18,"10-19",204,77.4,115,85.2,89,69.2,0,204,263568,134947,128621
2020-09-18,"20-29",589,173.4,308,173.6,281,173.2,0,589,339736,177466,162270
2020-09-18,"30-39",584,162.6,320,169.3,264,155.1,0,584,359239,188972,170267
2020-09-18,"40-49",656,177.4,288,156.6,368,198,0,656,369722,183873,185849
2020-09-18,"50-59",711,169.7,295,150.2,416,186.9,0,711,419039,196469,222570
2020-09-18,"60-69",439,125,185,125.2,254,124.8,0,439,351248,147788,203460
2020-09-18,"70-79",180,76,74,90.6,106,68.3,0,180,236890,81674,155216
2020-09-18,"Virš 80",213,129.4,66,149.1,147,122.2,0,213,164546,44257,120289
2020-09-19,"0-9",91,31.4,47,31.6,44,31.2,0,91,290102,148908,141194
2020-09-19,"10-19",207,78.5,116,86,91,70.8,0,207,263568,134947,128621
2020-09-19,"20-29",598,176,311,175.2,287,176.9,0,598,339736,177466,162270
2020-09-19,"30-39",598,166.5,328,173.6,270,158.6,0,598,359239,188972,170267
2020-09-19,"40-49",678,183.4,295,160.4,383,206.1,0,678,369722,183873,185849
2020-09-19,"50-59",724,172.8,298,151.7,426,191.4,0,724,419039,196469,222570
2020-09-19,"60-69",448,127.5,187,126.5,261,128.3,0,448,351248,147788,203460
2020-09-19,"70-79",185,78.1,76,93.1,109,70.2,0,185,236890,81674,155216
2020-09-19,"Virš 80",216,131.3,68,153.6,148,123,0,216,164546,44257,120289
2020-09-20,"0-9",91,31.4,47,31.6,44,31.2,0,91,290102,148908,141194
2020-09-20,"10-19",216,82,123,91.1,93,72.3,0,216,263568,134947,128621
2020-09-20,"20-29",615,181,314,176.9,301,185.5,0,615,339736,177466,162270
2020-09-20,"30-39",611,170.1,331,175.2,280,164.4,0,611,359239,188972,170267
2020-09-20,"40-49",688,186.1,299,162.6,389,209.3,0,688,369722,183873,185849
