"educational_institution","confirmed_students","confirmed_all","first_case","last_case","NA"
"Kauno Žaliakalnio progimnazija","1","","0","2020-10-10","-"
"Šiaulių lopšelis-darželis „Salduvė“","2","","tikslinama","2020-10-11","2020-10-12"
"Vilniaus Naujamiesčio mokykla","1","","tikslinama","2020-10-11","-"
"Rietavo savivaldybės Tverų gimnazija","1","","0","2020-10-11","-"
"Šiaulių Lieporių gimnazija","1","","0","2020-10-10","-"
"Kauno Jono Žemaičio-Vytauto mokykla-daugiafunkcis centras","1","","0","2020-10-10","-"
"Kauno Vytauto Didžiojo universiteto „Rasos“ gimnazija","1","","0","2020-10-10","-"
"Plungės Senamiesčio mokykla","11","7","38","2020-10-10","2020-10-16"
"Elektrėnų profesinio mokymo centras","","1","0","2020-10-08","-"
"Kauno maisto pramonės ir prekybos mokymo centras","","1","0","2020-10-08","-"
"Vilniaus kunigaikščio Gedimino progimnazija","2","","0","2020-10-08","2020-10-12"
"Šalčininkų Lietuvos tūkstantmečio gimnacija","1","","tikslinama","2020-10-08","-"
"Vilniaus darželis - mokykla „Dainorėliai“","1","","56","2020-10-08","-"
"Šiaulių Gytarių progimnazija","1","1","tikslinama","2020-10-08","2020-10-15"
"Vilniaus darželis VšĮ „Katino dienelės“","","1","3","2020-10-07","-"
"Kauno technologijos universiteto Vaižganto progimnazija","6","9","18","2020-10-07","2020-10-15"
"Kauno Vinco Kudirkos progimnazija","1","","0","2020-10-07","-"
"Vilniaus „Saulės” privati gimnazija","1","","tikslinama","2020-10-07","-"
"Visagino „Draugystės“ progimnazija","1","","0","2020-10-07","-"
"Radviliškio technologijų ir verslo mokymo centras","","1","18","2020-10-07","-"
"Kauno Šančių mokykla-daugiafunkcis centras","2","","tikslinama","2020-10-07","-"
"Kelmės Jono Graičiūno gimnazija","4","","0","2020-10-07","2020-10-09"
"Vilniaus Jono Basanavičiaus gimnazija","12","2","60","2020-10-07","2020-10-17"
"Utenos Aukštakalnio Progimnazijos Žiburio Skyrius","1","3","65","2020-10-07","2020-10-10"
"Rietavo Lauryno Ivinskio gimnazija","2","","20","2020-10-06","2020-10-09"
"Vilniaus Juzefo Ignacijaus Kraševskio gimnazija","1","1","tikslinama","2020-10-06","2020-10-14"
"Kauno „Ryto“ pradinė mokykla","1","","tikslinama","2020-10-06","-"
"Vilniaus rajono Riešės vaikų darželis","","1","3","2020-10-05","-"
