"educational_institution","confirmed_students","confirmed_all","first_case","last_case"
"Lietuvos sveikatos mokslų universiteto gimnazija","2","1","2020-10-13","2020-10-19"
"Vilniaus Ozo gimnazija","1","","2020-10-16","-"
"Šiaulių „Juventos“ progimnazija","1","","2020-10-16","-"
"Vilniaus Gedimino technikos universiteto inžinerijos licėjus","4","","2020-10-16","2020-10-20"
"Vilniaus Petro Vileišio progimnazija","3","","2020-10-03","2020-10-18"
"Vilniaus lopšelis-darželis „Gabijelė“","1","3","2020-10-09","2020-10-17"
"Vilniaus lopšelis-darželis boružėlė","","1","2020-10-15","-"
"Prienų rajono Veiverių Tomo Žilinsko gimnazija","","2","2020-10-15","2020-10-19"
"Vilniaus rajono Skaidiškių mokykla-darželis","1","2","2020-10-15","2020-10-18"
"Plungės vyskupo Motiejaus Valančiaus pradinė mokykla","1","1","2020-10-15","2020-10-20"
"Vilniaus Šiaurės licėjus","5","1","2020-10-10","2020-10-17"
"Kauno rajono Akademijos Ugnės Karvelis gimnazija","1","","2020-10-15","-"
"Kauno Jurgio Dobkevičiaus progimnazija","1","","2020-10-15","-"
"Kelmės rajono Elvyravos pagrindinė mokykla","1","","2020-10-15","-"
"Šiaulių r. Kuršėnų Pavenčių mokykla-daugiafunkcis centras","1","","2020-10-15","-"
"Klaipėdos „Žaliakalnio“ gimnazija","1","","2020-10-15","-"
"Trakų r. Paluknio Longino Komolovskio gimnazija","2","","2020-10-15","-"
"Vilniaus lopšelis – darželis „Pušaitė“","","2","2020-10-14","2020-10-18"
"Vilniaus Žirmūnų gimnazija","1","1","2020-10-14","2020-10-16"
"Vilniaus lopšelis-darželis „Aitvaras“","","1","2020-10-14","-"
"Šiaulių lopšelis-darželis „Varpelis“","","2","2020-10-14","2020-10-20"
"Klaipėdos Simono Dacho progimnazija","1","1","2020-10-14","2020-10-20"
"Vilniaus lopšelis-darželis „Gėlynas“","","3","2020-10-14","2020-10-16"
"Kauno rajono Panevėžiuko mokykla-daugiafunkcis centras","","1","2020-10-20","-"
"Vaikų darželis „Taškius“ Bajoruose (Vilnius)","1","3","2020-10-14","2020-10-19"
"Panevėžio lopšelis-darželis „Nykštukas“","1","","2020-10-14","-"
"Vilniaus Žygimanto Augusto pagrindinė mokykla","1","","2020-10-14","-"
"Vilniaus rajono Rudaminos „Ryto“ gimnazija","2","","2020-10-14","-"
"Vilniaus Vasilijaus Kačialovo gimnazija","1","","2020-10-14","-"
"Vilniaus Minties gimnazija","1","","2020-10-14","-"
"Šiaulių Gegužių progimnazija","2","","2020-10-14","2020-10-19"
"Kelmės profesinio rengimo centras","1","","2020-10-14","-"
"Šiaulių lopšelis-darželis „Klevelis“","1","","2020-10-14","-"
"Klaipėdos Ernesto Galvanausko profesinio mokymo centras","4","","2020-10-11","2020-10-17"
"Vilniaus Šolomo Aleichemo gimnazija","1","","2020-10-13","-"
"Elektrėnų „Ąžuolyno“ progimnazija","1","","2020-10-13","-"
"Kauno Aleksandro Puškino gimnazija","1","","2020-10-13","-"
"Švenčionių rajono Pabradės „Ryto“ gimnazija","1","1","2020-10-12","2020-10-17"
"Vilniaus Šv. Kristoforo progimnazija","","1","2020-10-12","-"
"Lentvario Motiejaus Šimelionio gimnazija","","1","2020-10-12","-"
"Joniškio Saulės pagrindinės mokyklos dienos užimtumo centras","13","","2020-10-05","2020-10-12"
"Skuodo Pranciškaus Žadeikio gimnazija","1","","2020-10-10","-"
"Skuodo Bartuvos progimnazijos skyrius Lenkimų mokykla","1","3","2020-10-10","2020-10-18"
"Klaipėdos lopšelis-darželis „Nykštukas“","","2","2020-10-10","2020-10-16"
"Šiaulių lopšelis-darželis „Žibutė“","2","7","2020-10-11","2020-10-18"
"Raseinių r. Ariogalos lopšelis-darželis","","1","2020-10-10","-"
"Vilniaus lopšelis darželis „Žemyna“","2","18","2020-10-10","2020-10-20"
"Kauno lopšelis-darželis „Žvangutis”","","1","2020-10-10","-"
