"","administrative_level_2","administrative_level_3","age","sex","population"
"508","Vilniaus apskr.","Trakų r.","30-40","Viso",4630
"509","Vilniaus apskr.","Trakų r.","40-50","Viso",4646
"510","Vilniaus apskr.","Trakų r.","50-60","Viso",5137
"511","Vilniaus apskr.","Trakų r.","60-70","Viso",4098
"512","Vilniaus apskr.","Trakų r.","70-80","Viso",2405
"513","Vilniaus apskr.","Trakų r.","80+","Viso",1739
"514","Vilniaus apskr.","Ukmergės r.","0-10","Viso",2958
"515","Vilniaus apskr.","Ukmergės r.","10-20","Viso",2911
"516","Vilniaus apskr.","Ukmergės r.","20-30","Viso",3849
"517","Vilniaus apskr.","Ukmergės r.","30-40","Viso",3043
"518","Vilniaus apskr.","Ukmergės r.","40-50","Viso",3886
"519","Vilniaus apskr.","Ukmergės r.","50-60","Viso",5697
"520","Vilniaus apskr.","Ukmergės r.","60-70","Viso",4652
"521","Vilniaus apskr.","Ukmergės r.","70-80","Viso",3494
"522","Vilniaus apskr.","Ukmergės r.","80+","Viso",2562
"523","Vilniaus apskr.","Vilniaus m.","0-10","Viso",68014
"524","Vilniaus apskr.","Vilniaus m.","10-20","Viso",51402
"525","Vilniaus apskr.","Vilniaus m.","20-30","Viso",61835
"526","Vilniaus apskr.","Vilniaus m.","30-40","Viso",116104
"527","Vilniaus apskr.","Vilniaus m.","40-50","Viso",80912
"528","Vilniaus apskr.","Vilniaus m.","50-60","Viso",66401
"529","Vilniaus apskr.","Vilniaus m.","60-70","Viso",59823
"530","Vilniaus apskr.","Vilniaus m.","70-80","Viso",38612
"531","Vilniaus apskr.","Vilniaus m.","80+","Viso",26799
"532","Vilniaus apskr.","Vilniaus r.","0-10","Viso",9977
"533","Vilniaus apskr.","Vilniaus r.","10-20","Viso",11946
"534","Vilniaus apskr.","Vilniaus r.","20-30","Viso",11872
"535","Vilniaus apskr.","Vilniaus r.","30-40","Viso",14923
"536","Vilniaus apskr.","Vilniaus r.","40-50","Viso",15997
"537","Vilniaus apskr.","Vilniaus r.","50-60","Viso",14821
"538","Vilniaus apskr.","Vilniaus r.","60-70","Viso",11925
"539","Vilniaus apskr.","Vilniaus r.","70-80","Viso",6671
"540","Vilniaus apskr.","Vilniaus r.","80+","Viso",3899
