"administrative_level_2","administrative_level_3","age","population"
"Vilniaus apskr.","Vilniaus m.","80+",26799
"Vilniaus apskr.","Vilniaus r.","0-10",9977
"Vilniaus apskr.","Vilniaus r.","10-20",11946
"Vilniaus apskr.","Vilniaus r.","20-30",11872
"Vilniaus apskr.","Vilniaus r.","30-40",14923
"Vilniaus apskr.","Vilniaus r.","40-50",15997
"Vilniaus apskr.","Vilniaus r.","50-60",14821
"Vilniaus apskr.","Vilniaus r.","60-70",11925
"Vilniaus apskr.","Vilniaus r.","70-80",6671
"Vilniaus apskr.","Vilniaus r.","80+",3899
