"administrative_level_2","administrative_level_3","age","age5","age10","population"
"Vilniaus apskr.","Elektrėnų","0","0-4","0-9",209
"Vilniaus apskr.","Elektrėnų","1","0-4","0-9",214
"Vilniaus apskr.","Elektrėnų","2","0-4","0-9",230
"Vilniaus apskr.","Elektrėnų","3","0-4","0-9",232
"Vilniaus apskr.","Elektrėnų","4","0-4","0-9",249
"Vilniaus apskr.","Elektrėnų","5","5-9","0-9",275
"Vilniaus apskr.","Elektrėnų","6","5-9","0-9",256
"Vilniaus apskr.","Elektrėnų","7","5-9","0-9",245
"Vilniaus apskr.","Elektrėnų","8","5-9","0-9",244
"Vilniaus apskr.","Elektrėnų","9","5-9","0-9",232
"Vilniaus apskr.","Elektrėnų","10","10-14","10-19",214
"Vilniaus apskr.","Elektrėnų","11","10-14","10-19",225
"Vilniaus apskr.","Elektrėnų","12","10-14","10-19",215
"Vilniaus apskr.","Elektrėnų","13","10-14","10-19",231
"Vilniaus apskr.","Elektrėnų","14","10-14","10-19",200
"Vilniaus apskr.","Elektrėnų","15","15-19","10-19",210
"Vilniaus apskr.","Elektrėnų","16","15-19","10-19",191
"Vilniaus apskr.","Elektrėnų","17","15-19","10-19",197
"Vilniaus apskr.","Elektrėnų","18","15-19","10-19",174
"Vilniaus apskr.","Elektrėnų","19","15-19","10-19",222
"Vilniaus apskr.","Elektrėnų","20","20-24","20-29",245
"Vilniaus apskr.","Elektrėnų","21","20-24","20-29",241
"Vilniaus apskr.","Elektrėnų","22","20-24","20-29",245
"Vilniaus apskr.","Elektrėnų","23","20-24","20-29",301
"Vilniaus apskr.","Elektrėnų","24","20-24","20-29",244
"Vilniaus apskr.","Elektrėnų","25","25-29","20-29",260
"Vilniaus apskr.","Elektrėnų","26","25-29","20-29",257
"Vilniaus apskr.","Elektrėnų","27","25-29","20-29",314
"Vilniaus apskr.","Elektrėnų","28","25-29","20-29",335
"Vilniaus apskr.","Elektrėnų","29","25-29","20-29",296
"Vilniaus apskr.","Elektrėnų","30","30-34","30-39",342
"Vilniaus apskr.","Elektrėnų","31","30-34","30-39",292
"Vilniaus apskr.","Elektrėnų","32","30-34","30-39",313
"Vilniaus apskr.","Elektrėnų","33","30-34","30-39",365
"Vilniaus apskr.","Elektrėnų","34","30-34","30-39",352
"Vilniaus apskr.","Elektrėnų","35","35-39","30-39",335
"Vilniaus apskr.","Elektrėnų","36","35-39","30-39",323
"Vilniaus apskr.","Elektrėnų","37","35-39","30-39",306
"Vilniaus apskr.","Elektrėnų","38","35-39","30-39",318
"Vilniaus apskr.","Elektrėnų","39","35-39","30-39",315
"Vilniaus apskr.","Elektrėnų","40","40-44","40-49",319
"Vilniaus apskr.","Elektrėnų","41","40-44","40-49",361
"Vilniaus apskr.","Elektrėnų","42","40-44","40-49",322
"Vilniaus apskr.","Elektrėnų","43","40-44","40-49",318
"Vilniaus apskr.","Elektrėnų","44","40-44","40-49",286
"Vilniaus apskr.","Elektrėnų","45","45-49","40-49",345
"Vilniaus apskr.","Elektrėnų","46","45-49","40-49",328
"Vilniaus apskr.","Elektrėnų","47","45-49","40-49",351
"Vilniaus apskr.","Elektrėnų","48","45-49","40-49",395
"Vilniaus apskr.","Elektrėnų","49","45-49","40-49",384
"Vilniaus apskr.","Elektrėnų","50","50-54","50-59",390
"Vilniaus apskr.","Elektrėnų","51","50-54","50-59",387
"Vilniaus apskr.","Elektrėnų","52","50-54","50-59",378
"Vilniaus apskr.","Elektrėnų","53","50-54","50-59",357
"Vilniaus apskr.","Elektrėnų","54","50-54","50-59",371
"Vilniaus apskr.","Elektrėnų","55","55-59","50-59",338
"Vilniaus apskr.","Elektrėnų","56","55-59","50-59",377
"Vilniaus apskr.","Elektrėnų","57","55-59","50-59",369
"Vilniaus apskr.","Elektrėnų","58","55-59","50-59",422
"Vilniaus apskr.","Elektrėnų","59","55-59","50-59",415
"Vilniaus apskr.","Elektrėnų","60","60-64","60-69",433
"Vilniaus apskr.","Elektrėnų","61","60-64","60-69",400
"Vilniaus apskr.","Elektrėnų","62","60-64","60-69",387
"Vilniaus apskr.","Elektrėnų","63","60-64","60-69",343
"Vilniaus apskr.","Elektrėnų","64","60-64","60-69",316
"Vilniaus apskr.","Elektrėnų","65","65-69","60-69",277
"Vilniaus apskr.","Elektrėnų","66","65-69","60-69",261
"Vilniaus apskr.","Elektrėnų","67","65-69","60-69",232
"Vilniaus apskr.","Elektrėnų","68","65-69","60-69",258
"Vilniaus apskr.","Elektrėnų","69","65-69","60-69",240
"Vilniaus apskr.","Elektrėnų","70","70-74","70-79",245
"Vilniaus apskr.","Elektrėnų","71","70-74","70-79",256
"Vilniaus apskr.","Elektrėnų","72","70-74","70-79",185
"Vilniaus apskr.","Elektrėnų","73","70-74","70-79",177
"Vilniaus apskr.","Elektrėnų","74","70-74","70-79",202
"Vilniaus apskr.","Elektrėnų","75","75-79","70-79",189
"Vilniaus apskr.","Elektrėnų","76","75-79","70-79",165
"Vilniaus apskr.","Elektrėnų","77","75-79","70-79",213
"Vilniaus apskr.","Elektrėnų","78","75-79","70-79",218
"Vilniaus apskr.","Elektrėnų","79","75-79","70-79",177
"Vilniaus apskr.","Elektrėnų","80","80+","80+",165
"Vilniaus apskr.","Elektrėnų","81","80+","80+",145
"Vilniaus apskr.","Elektrėnų","82","80+","80+",157
"Vilniaus apskr.","Elektrėnų","83","80+","80+",141
"Vilniaus apskr.","Elektrėnų","84","80+","80+",140
"Vilniaus apskr.","Elektrėnų","85 ir vyresni","80+","80+",509
"Vilniaus apskr.","Šalčininkų r.","0","0-4","0-9",277
"Vilniaus apskr.","Šalčininkų r.","1","0-4","0-9",248
"Vilniaus apskr.","Šalčininkų r.","2","0-4","0-9",313
"Vilniaus apskr.","Šalčininkų r.","3","0-4","0-9",271
"Vilniaus apskr.","Šalčininkų r.","4","0-4","0-9",368
"Vilniaus apskr.","Šalčininkų r.","5","5-9","0-9",353
"Vilniaus apskr.","Šalčininkų r.","6","5-9","0-9",330
"Vilniaus apskr.","Šalčininkų r.","7","5-9","0-9",333
"Vilniaus apskr.","Šalčininkų r.","8","5-9","0-9",363
"Vilniaus apskr.","Šalčininkų r.","9","5-9","0-9",362
"Vilniaus apskr.","Šalčininkų r.","10","10-14","10-19",324
"Vilniaus apskr.","Šalčininkų r.","11","10-14","10-19",354
"Vilniaus apskr.","Šalčininkų r.","12","10-14","10-19",350
"Vilniaus apskr.","Šalčininkų r.","13","10-14","10-19",328
"Vilniaus apskr.","Šalčininkų r.","14","10-14","10-19",314
"Vilniaus apskr.","Šalčininkų r.","15","15-19","10-19",360
"Vilniaus apskr.","Šalčininkų r.","16","15-19","10-19",304
"Vilniaus apskr.","Šalčininkų r.","17","15-19","10-19",326
"Vilniaus apskr.","Šalčininkų r.","18","15-19","10-19",308
"Vilniaus apskr.","Šalčininkų r.","19","15-19","10-19",321
"Vilniaus apskr.","Šalčininkų r.","20","20-24","20-29",353
"Vilniaus apskr.","Šalčininkų r.","21","20-24","20-29",353
"Vilniaus apskr.","Šalčininkų r.","22","20-24","20-29",384
"Vilniaus apskr.","Šalčininkų r.","23","20-24","20-29",383
"Vilniaus apskr.","Šalčininkų r.","24","20-24","20-29",370
"Vilniaus apskr.","Šalčininkų r.","25","25-29","20-29",386
"Vilniaus apskr.","Šalčininkų r.","26","25-29","20-29",407
"Vilniaus apskr.","Šalčininkų r.","27","25-29","20-29",423
"Vilniaus apskr.","Šalčininkų r.","28","25-29","20-29",444
"Vilniaus apskr.","Šalčininkų r.","29","25-29","20-29",396
"Vilniaus apskr.","Šalčininkų r.","30","30-34","30-39",418
"Vilniaus apskr.","Šalčininkų r.","31","30-34","30-39",460
"Vilniaus apskr.","Šalčininkų r.","32","30-34","30-39",424
"Vilniaus apskr.","Šalčininkų r.","33","30-34","30-39",374
"Vilniaus apskr.","Šalčininkų r.","34","30-34","30-39",349
"Vilniaus apskr.","Šalčininkų r.","35","35-39","30-39",330
"Vilniaus apskr.","Šalčininkų r.","36","35-39","30-39",360
"Vilniaus apskr.","Šalčininkų r.","37","35-39","30-39",316
"Vilniaus apskr.","Šalčininkų r.","38","35-39","30-39",312
"Vilniaus apskr.","Šalčininkų r.","39","35-39","30-39",340
"Vilniaus apskr.","Šalčininkų r.","40","40-44","40-49",390
"Vilniaus apskr.","Šalčininkų r.","41","40-44","40-49",373
"Vilniaus apskr.","Šalčininkų r.","42","40-44","40-49",350
"Vilniaus apskr.","Šalčininkų r.","43","40-44","40-49",396
"Vilniaus apskr.","Šalčininkų r.","44","40-44","40-49",435
"Vilniaus apskr.","Šalčininkų r.","45","45-49","40-49",388
"Vilniaus apskr.","Šalčininkų r.","46","45-49","40-49",480
"Vilniaus apskr.","Šalčininkų r.","47","45-49","40-49",471
"Vilniaus apskr.","Šalčininkų r.","48","45-49","40-49",451
"Vilniaus apskr.","Šalčininkų r.","49","45-49","40-49",460
"Vilniaus apskr.","Šalčininkų r.","50","50-54","50-59",442
"Vilniaus apskr.","Šalčininkų r.","51","50-54","50-59",424
"Vilniaus apskr.","Šalčininkų r.","52","50-54","50-59",476
"Vilniaus apskr.","Šalčininkų r.","53","50-54","50-59",490
"Vilniaus apskr.","Šalčininkų r.","54","50-54","50-59",450
"Vilniaus apskr.","Šalčininkų r.","55","55-59","50-59",471
"Vilniaus apskr.","Šalčininkų r.","56","55-59","50-59",470
"Vilniaus apskr.","Šalčininkų r.","57","55-59","50-59",526
"Vilniaus apskr.","Šalčininkų r.","58","55-59","50-59",442
"Vilniaus apskr.","Šalčininkų r.","59","55-59","50-59",502
"Vilniaus apskr.","Šalčininkų r.","60","60-64","60-69",497
"Vilniaus apskr.","Šalčininkų r.","61","60-64","60-69",473
"Vilniaus apskr.","Šalčininkų r.","62","60-64","60-69",453
"Vilniaus apskr.","Šalčininkų r.","63","60-64","60-69",390
"Vilniaus apskr.","Šalčininkų r.","64","60-64","60-69",341
"Vilniaus apskr.","Šalčininkų r.","65","65-69","60-69",329
"Vilniaus apskr.","Šalčininkų r.","66","65-69","60-69",301
"Vilniaus apskr.","Šalčininkų r.","67","65-69","60-69",281
"Vilniaus apskr.","Šalčininkų r.","68","65-69","60-69",313
"Vilniaus apskr.","Šalčininkų r.","69","65-69","60-69",298
"Vilniaus apskr.","Šalčininkų r.","70","70-74","70-79",312
"Vilniaus apskr.","Šalčininkų r.","71","70-74","70-79",277
"Vilniaus apskr.","Šalčininkų r.","72","70-74","70-79",245
"Vilniaus apskr.","Šalčininkų r.","73","70-74","70-79",191
"Vilniaus apskr.","Šalčininkų r.","74","70-74","70-79",198
"Vilniaus apskr.","Šalčininkų r.","75","75-79","70-79",191
"Vilniaus apskr.","Šalčininkų r.","76","75-79","70-79",152
"Vilniaus apskr.","Šalčininkų r.","77","75-79","70-79",181
"Vilniaus apskr.","Šalčininkų r.","78","75-79","70-79",193
"Vilniaus apskr.","Šalčininkų r.","79","75-79","70-79",159
"Vilniaus apskr.","Šalčininkų r.","80","80+","80+",215
"Vilniaus apskr.","Šalčininkų r.","81","80+","80+",186
"Vilniaus apskr.","Šalčininkų r.","82","80+","80+",193
"Vilniaus apskr.","Šalčininkų r.","83","80+","80+",166
"Vilniaus apskr.","Šalčininkų r.","84","80+","80+",142
"Vilniaus apskr.","Šalčininkų r.","85 ir vyresni","80+","80+",621
"Vilniaus apskr.","Širvintų r.","0","0-4","0-9",129
"Vilniaus apskr.","Širvintų r.","1","0-4","0-9",125
"Vilniaus apskr.","Širvintų r.","2","0-4","0-9",129
"Vilniaus apskr.","Širvintų r.","3","0-4","0-9",147
"Vilniaus apskr.","Širvintų r.","4","0-4","0-9",143
"Vilniaus apskr.","Širvintų r.","5","5-9","0-9",151
"Vilniaus apskr.","Širvintų r.","6","5-9","0-9",149
"Vilniaus apskr.","Širvintų r.","7","5-9","0-9",137
"Vilniaus apskr.","Širvintų r.","8","5-9","0-9",149
"Vilniaus apskr.","Širvintų r.","9","5-9","0-9",132
"Vilniaus apskr.","Širvintų r.","10","10-14","10-19",112
"Vilniaus apskr.","Širvintų r.","11","10-14","10-19",120
"Vilniaus apskr.","Širvintų r.","12","10-14","10-19",117
"Vilniaus apskr.","Širvintų r.","13","10-14","10-19",151
"Vilniaus apskr.","Širvintų r.","14","10-14","10-19",118
"Vilniaus apskr.","Širvintų r.","15","15-19","10-19",135
"Vilniaus apskr.","Širvintų r.","16","15-19","10-19",140
"Vilniaus apskr.","Širvintų r.","17","15-19","10-19",127
"Vilniaus apskr.","Širvintų r.","18","15-19","10-19",128
"Vilniaus apskr.","Širvintų r.","19","15-19","10-19",140
"Vilniaus apskr.","Širvintų r.","20","20-24","20-29",184
"Vilniaus apskr.","Širvintų r.","21","20-24","20-29",147
"Vilniaus apskr.","Širvintų r.","22","20-24","20-29",176
"Vilniaus apskr.","Širvintų r.","23","20-24","20-29",181
"Vilniaus apskr.","Širvintų r.","24","20-24","20-29",166
"Vilniaus apskr.","Širvintų r.","25","25-29","20-29",184
"Vilniaus apskr.","Širvintų r.","26","25-29","20-29",211
"Vilniaus apskr.","Širvintų r.","27","25-29","20-29",181
"Vilniaus apskr.","Širvintų r.","28","25-29","20-29",218
"Vilniaus apskr.","Širvintų r.","29","25-29","20-29",210
"Vilniaus apskr.","Širvintų r.","30","30-34","30-39",178
"Vilniaus apskr.","Širvintų r.","31","30-34","30-39",171
"Vilniaus apskr.","Širvintų r.","32","30-34","30-39",168
"Vilniaus apskr.","Širvintų r.","33","30-34","30-39",165
"Vilniaus apskr.","Širvintų r.","34","30-34","30-39",129
"Vilniaus apskr.","Širvintų r.","35","35-39","30-39",153
"Vilniaus apskr.","Širvintų r.","36","35-39","30-39",155
"Vilniaus apskr.","Širvintų r.","37","35-39","30-39",143
"Vilniaus apskr.","Širvintų r.","38","35-39","30-39",136
"Vilniaus apskr.","Širvintų r.","39","35-39","30-39",142
"Vilniaus apskr.","Širvintų r.","40","40-44","40-49",145
"Vilniaus apskr.","Širvintų r.","41","40-44","40-49",170
"Vilniaus apskr.","Širvintų r.","42","40-44","40-49",162
"Vilniaus apskr.","Širvintų r.","43","40-44","40-49",160
"Vilniaus apskr.","Širvintų r.","44","40-44","40-49",187
"Vilniaus apskr.","Širvintų r.","45","45-49","40-49",199
"Vilniaus apskr.","Širvintų r.","46","45-49","40-49",191
"Vilniaus apskr.","Širvintų r.","47","45-49","40-49",228
"Vilniaus apskr.","Širvintų r.","48","45-49","40-49",198
"Vilniaus apskr.","Širvintų r.","49","45-49","40-49",232
"Vilniaus apskr.","Širvintų r.","50","50-54","50-59",236
"Vilniaus apskr.","Širvintų r.","51","50-54","50-59",280
"Vilniaus apskr.","Širvintų r.","52","50-54","50-59",245
"Vilniaus apskr.","Širvintų r.","53","50-54","50-59",260
"Vilniaus apskr.","Širvintų r.","54","50-54","50-59",254
"Vilniaus apskr.","Širvintų r.","55","55-59","50-59",209
"Vilniaus apskr.","Širvintų r.","56","55-59","50-59",236
"Vilniaus apskr.","Širvintų r.","57","55-59","50-59",263
"Vilniaus apskr.","Širvintų r.","58","55-59","50-59",279
"Vilniaus apskr.","Širvintų r.","59","55-59","50-59",285
"Vilniaus apskr.","Širvintų r.","60","60-64","60-69",260
"Vilniaus apskr.","Širvintų r.","61","60-64","60-69",263
"Vilniaus apskr.","Širvintų r.","62","60-64","60-69",225
"Vilniaus apskr.","Širvintų r.","63","60-64","60-69",198
"Vilniaus apskr.","Širvintų r.","64","60-64","60-69",224
"Vilniaus apskr.","Širvintų r.","65","65-69","60-69",191
"Vilniaus apskr.","Širvintų r.","66","65-69","60-69",185
"Vilniaus apskr.","Širvintų r.","67","65-69","60-69",172
"Vilniaus apskr.","Širvintų r.","68","65-69","60-69",185
"Vilniaus apskr.","Širvintų r.","69","65-69","60-69",145
"Vilniaus apskr.","Širvintų r.","70","70-74","70-79",169
"Vilniaus apskr.","Širvintų r.","71","70-74","70-79",208
"Vilniaus apskr.","Širvintų r.","72","70-74","70-79",142
"Vilniaus apskr.","Širvintų r.","73","70-74","70-79",138
"Vilniaus apskr.","Širvintų r.","74","70-74","70-79",131
"Vilniaus apskr.","Širvintų r.","75","75-79","70-79",114
"Vilniaus apskr.","Širvintų r.","76","75-79","70-79",134
"Vilniaus apskr.","Širvintų r.","77","75-79","70-79",124
"Vilniaus apskr.","Širvintų r.","78","75-79","70-79",125
"Vilniaus apskr.","Širvintų r.","79","75-79","70-79",112
"Vilniaus apskr.","Širvintų r.","80","80+","80+",120
"Vilniaus apskr.","Širvintų r.","81","80+","80+",102
"Vilniaus apskr.","Širvintų r.","82","80+","80+",94
"Vilniaus apskr.","Širvintų r.","83","80+","80+",105
"Vilniaus apskr.","Širvintų r.","84","80+","80+",109
"Vilniaus apskr.","Širvintų r.","85 ir vyresni","80+","80+",439
"Vilniaus apskr.","Švenčionių r.","0","0-4","0-9",138
"Vilniaus apskr.","Švenčionių r.","1","0-4","0-9",149
"Vilniaus apskr.","Švenčionių r.","2","0-4","0-9",151
"Vilniaus apskr.","Švenčionių r.","3","0-4","0-9",182
"Vilniaus apskr.","Švenčionių r.","4","0-4","0-9",196
"Vilniaus apskr.","Švenčionių r.","5","5-9","0-9",215
"Vilniaus apskr.","Švenčionių r.","6","5-9","0-9",200
"Vilniaus apskr.","Švenčionių r.","7","5-9","0-9",183
"Vilniaus apskr.","Švenčionių r.","8","5-9","0-9",195
"Vilniaus apskr.","Švenčionių r.","9","5-9","0-9",208
"Vilniaus apskr.","Švenčionių r.","10","10-14","10-19",154
"Vilniaus apskr.","Švenčionių r.","11","10-14","10-19",207
"Vilniaus apskr.","Švenčionių r.","12","10-14","10-19",186
"Vilniaus apskr.","Švenčionių r.","13","10-14","10-19",190
"Vilniaus apskr.","Švenčionių r.","14","10-14","10-19",184
"Vilniaus apskr.","Švenčionių r.","15","15-19","10-19",195
"Vilniaus apskr.","Švenčionių r.","16","15-19","10-19",241
"Vilniaus apskr.","Švenčionių r.","17","15-19","10-19",198
"Vilniaus apskr.","Švenčionių r.","18","15-19","10-19",225
"Vilniaus apskr.","Švenčionių r.","19","15-19","10-19",251
"Vilniaus apskr.","Švenčionių r.","20","20-24","20-29",244
"Vilniaus apskr.","Švenčionių r.","21","20-24","20-29",299
"Vilniaus apskr.","Švenčionių r.","22","20-24","20-29",249
"Vilniaus apskr.","Švenčionių r.","23","20-24","20-29",258
"Vilniaus apskr.","Švenčionių r.","24","20-24","20-29",253
"Vilniaus apskr.","Švenčionių r.","25","25-29","20-29",289
"Vilniaus apskr.","Švenčionių r.","26","25-29","20-29",275
"Vilniaus apskr.","Švenčionių r.","27","25-29","20-29",285
"Vilniaus apskr.","Švenčionių r.","28","25-29","20-29",291
"Vilniaus apskr.","Švenčionių r.","29","25-29","20-29",229
"Vilniaus apskr.","Švenčionių r.","30","30-34","30-39",235
"Vilniaus apskr.","Švenčionių r.","31","30-34","30-39",183
"Vilniaus apskr.","Švenčionių r.","32","30-34","30-39",246
"Vilniaus apskr.","Švenčionių r.","33","30-34","30-39",213
"Vilniaus apskr.","Švenčionių r.","34","30-34","30-39",213
"Vilniaus apskr.","Švenčionių r.","35","35-39","30-39",204
"Vilniaus apskr.","Švenčionių r.","36","35-39","30-39",172
"Vilniaus apskr.","Švenčionių r.","37","35-39","30-39",205
"Vilniaus apskr.","Švenčionių r.","38","35-39","30-39",221
"Vilniaus apskr.","Švenčionių r.","39","35-39","30-39",222
"Vilniaus apskr.","Švenčionių r.","40","40-44","40-49",216
"Vilniaus apskr.","Švenčionių r.","41","40-44","40-49",230
"Vilniaus apskr.","Švenčionių r.","42","40-44","40-49",245
"Vilniaus apskr.","Švenčionių r.","43","40-44","40-49",276
"Vilniaus apskr.","Švenčionių r.","44","40-44","40-49",318
"Vilniaus apskr.","Švenčionių r.","45","45-49","40-49",313
"Vilniaus apskr.","Švenčionių r.","46","45-49","40-49",282
"Vilniaus apskr.","Švenčionių r.","47","45-49","40-49",325
"Vilniaus apskr.","Švenčionių r.","48","45-49","40-49",315
"Vilniaus apskr.","Švenčionių r.","49","45-49","40-49",382
"Vilniaus apskr.","Švenčionių r.","50","50-54","50-59",397
"Vilniaus apskr.","Švenčionių r.","51","50-54","50-59",353
"Vilniaus apskr.","Švenčionių r.","52","50-54","50-59",360
"Vilniaus apskr.","Švenčionių r.","53","50-54","50-59",336
"Vilniaus apskr.","Švenčionių r.","54","50-54","50-59",371
"Vilniaus apskr.","Švenčionių r.","55","55-59","50-59",379
"Vilniaus apskr.","Švenčionių r.","56","55-59","50-59",369
"Vilniaus apskr.","Švenčionių r.","57","55-59","50-59",395
"Vilniaus apskr.","Švenčionių r.","58","55-59","50-59",376
"Vilniaus apskr.","Švenčionių r.","59","55-59","50-59",398
"Vilniaus apskr.","Švenčionių r.","60","60-64","60-69",407
"Vilniaus apskr.","Švenčionių r.","61","60-64","60-69",410
"Vilniaus apskr.","Švenčionių r.","62","60-64","60-69",407
"Vilniaus apskr.","Švenčionių r.","63","60-64","60-69",373
"Vilniaus apskr.","Švenčionių r.","64","60-64","60-69",291
"Vilniaus apskr.","Švenčionių r.","65","65-69","60-69",336
"Vilniaus apskr.","Švenčionių r.","66","65-69","60-69",314
"Vilniaus apskr.","Švenčionių r.","67","65-69","60-69",261
"Vilniaus apskr.","Švenčionių r.","68","65-69","60-69",288
"Vilniaus apskr.","Švenčionių r.","69","65-69","60-69",275
"Vilniaus apskr.","Švenčionių r.","70","70-74","70-79",288
"Vilniaus apskr.","Švenčionių r.","71","70-74","70-79",304
"Vilniaus apskr.","Švenčionių r.","72","70-74","70-79",273
"Vilniaus apskr.","Švenčionių r.","73","70-74","70-79",211
"Vilniaus apskr.","Švenčionių r.","74","70-74","70-79",188
"Vilniaus apskr.","Švenčionių r.","75","75-79","70-79",210
"Vilniaus apskr.","Švenčionių r.","76","75-79","70-79",209
"Vilniaus apskr.","Švenčionių r.","77","75-79","70-79",208
"Vilniaus apskr.","Švenčionių r.","78","75-79","70-79",189
"Vilniaus apskr.","Švenčionių r.","79","75-79","70-79",199
"Vilniaus apskr.","Švenčionių r.","80","80+","80+",195
"Vilniaus apskr.","Švenčionių r.","81","80+","80+",173
"Vilniaus apskr.","Švenčionių r.","82","80+","80+",191
"Vilniaus apskr.","Švenčionių r.","83","80+","80+",122
"Vilniaus apskr.","Švenčionių r.","84","80+","80+",146
"Vilniaus apskr.","Švenčionių r.","85 ir vyresni","80+","80+",755
"Vilniaus apskr.","Trakų r.","0","0-4","0-9",268
"Vilniaus apskr.","Trakų r.","1","0-4","0-9",329
"Vilniaus apskr.","Trakų r.","2","0-4","0-9",322
"Vilniaus apskr.","Trakų r.","3","0-4","0-9",350
"Vilniaus apskr.","Trakų r.","4","0-4","0-9",331
"Vilniaus apskr.","Trakų r.","5","5-9","0-9",325
"Vilniaus apskr.","Trakų r.","6","5-9","0-9",337
"Vilniaus apskr.","Trakų r.","7","5-9","0-9",364
"Vilniaus apskr.","Trakų r.","8","5-9","0-9",331
"Vilniaus apskr.","Trakų r.","9","5-9","0-9",337
"Vilniaus apskr.","Trakų r.","10","10-14","10-19",343
"Vilniaus apskr.","Trakų r.","11","10-14","10-19",352
"Vilniaus apskr.","Trakų r.","12","10-14","10-19",341
"Vilniaus apskr.","Trakų r.","13","10-14","10-19",317
"Vilniaus apskr.","Trakų r.","14","10-14","10-19",283
"Vilniaus apskr.","Trakų r.","15","15-19","10-19",309
"Vilniaus apskr.","Trakų r.","16","15-19","10-19",326
"Vilniaus apskr.","Trakų r.","17","15-19","10-19",309
"Vilniaus apskr.","Trakų r.","18","15-19","10-19",299
"Vilniaus apskr.","Trakų r.","19","15-19","10-19",338
"Vilniaus apskr.","Trakų r.","20","20-24","20-29",381
"Vilniaus apskr.","Trakų r.","21","20-24","20-29",396
"Vilniaus apskr.","Trakų r.","22","20-24","20-29",376
"Vilniaus apskr.","Trakų r.","23","20-24","20-29",351
"Vilniaus apskr.","Trakų r.","24","20-24","20-29",389
"Vilniaus apskr.","Trakų r.","25","25-29","20-29",396
"Vilniaus apskr.","Trakų r.","26","25-29","20-29",378
"Vilniaus apskr.","Trakų r.","27","25-29","20-29",468
"Vilniaus apskr.","Trakų r.","28","25-29","20-29",446
"Vilniaus apskr.","Trakų r.","29","25-29","20-29",466
"Vilniaus apskr.","Trakų r.","30","30-34","30-39",440
"Vilniaus apskr.","Trakų r.","31","30-34","30-39",443
"Vilniaus apskr.","Trakų r.","32","30-34","30-39",469
"Vilniaus apskr.","Trakų r.","33","30-34","30-39",500
"Vilniaus apskr.","Trakų r.","34","30-34","30-39",486
"Vilniaus apskr.","Trakų r.","35","35-39","30-39",444
"Vilniaus apskr.","Trakų r.","36","35-39","30-39",479
"Vilniaus apskr.","Trakų r.","37","35-39","30-39",502
"Vilniaus apskr.","Trakų r.","38","35-39","30-39",418
"Vilniaus apskr.","Trakų r.","39","35-39","30-39",449
"Vilniaus apskr.","Trakų r.","40","40-44","40-49",452
"Vilniaus apskr.","Trakų r.","41","40-44","40-49",438
"Vilniaus apskr.","Trakų r.","42","40-44","40-49",447
"Vilniaus apskr.","Trakų r.","43","40-44","40-49",459
"Vilniaus apskr.","Trakų r.","44","40-44","40-49",530
"Vilniaus apskr.","Trakų r.","45","45-49","40-49",418
"Vilniaus apskr.","Trakų r.","46","45-49","40-49",474
"Vilniaus apskr.","Trakų r.","47","45-49","40-49",472
"Vilniaus apskr.","Trakų r.","48","45-49","40-49",458
"Vilniaus apskr.","Trakų r.","49","45-49","40-49",498
"Vilniaus apskr.","Trakų r.","50","50-54","50-59",488
"Vilniaus apskr.","Trakų r.","51","50-54","50-59",515
"Vilniaus apskr.","Trakų r.","52","50-54","50-59",514
"Vilniaus apskr.","Trakų r.","53","50-54","50-59",495
"Vilniaus apskr.","Trakų r.","54","50-54","50-59",494
"Vilniaus apskr.","Trakų r.","55","55-59","50-59",514
"Vilniaus apskr.","Trakų r.","56","55-59","50-59",510
"Vilniaus apskr.","Trakų r.","57","55-59","50-59",546
"Vilniaus apskr.","Trakų r.","58","55-59","50-59",538
"Vilniaus apskr.","Trakų r.","59","55-59","50-59",523
"Vilniaus apskr.","Trakų r.","60","60-64","60-69",492
"Vilniaus apskr.","Trakų r.","61","60-64","60-69",483
"Vilniaus apskr.","Trakų r.","62","60-64","60-69",478
"Vilniaus apskr.","Trakų r.","63","60-64","60-69",438
"Vilniaus apskr.","Trakų r.","64","60-64","60-69",423
"Vilniaus apskr.","Trakų r.","65","65-69","60-69",393
"Vilniaus apskr.","Trakų r.","66","65-69","60-69",387
"Vilniaus apskr.","Trakų r.","67","65-69","60-69",336
"Vilniaus apskr.","Trakų r.","68","65-69","60-69",322
"Vilniaus apskr.","Trakų r.","69","65-69","60-69",346
"Vilniaus apskr.","Trakų r.","70","70-74","70-79",305
"Vilniaus apskr.","Trakų r.","71","70-74","70-79",326
"Vilniaus apskr.","Trakų r.","72","70-74","70-79",262
"Vilniaus apskr.","Trakų r.","73","70-74","70-79",271
"Vilniaus apskr.","Trakų r.","74","70-74","70-79",226
"Vilniaus apskr.","Trakų r.","75","75-79","70-79",234
"Vilniaus apskr.","Trakų r.","76","75-79","70-79",166
"Vilniaus apskr.","Trakų r.","77","75-79","70-79",195
"Vilniaus apskr.","Trakų r.","78","75-79","70-79",209
"Vilniaus apskr.","Trakų r.","79","75-79","70-79",211
"Vilniaus apskr.","Trakų r.","80","80+","80+",207
"Vilniaus apskr.","Trakų r.","81","80+","80+",178
"Vilniaus apskr.","Trakų r.","82","80+","80+",183
"Vilniaus apskr.","Trakų r.","83","80+","80+",186
"Vilniaus apskr.","Trakų r.","84","80+","80+",198
"Vilniaus apskr.","Trakų r.","85 ir vyresni","80+","80+",787
"Vilniaus apskr.","Ukmergės r.","0","0-4","0-9",274
