"description","tlk","total","intensive","ventilated","oxygen_mask"
"Stacionaro lovų skaičius","Vilniaus TLK",4719,233,222,1668
"Stacionaro lovų skaičius","Kauno TLK",4248,183,163,1969
"Stacionaro lovų skaičius","Klaipėdos TLK",3064,99,93,1051
"Stacionaro lovų skaičius","Šiaulių TLK",2003,67,66,1017
"Stacionaro lovų skaičius","Panevėžio TLK",2617,90,80,502
"Užimtų lovų skaičius","Vilniaus TLK",2798,140,100,983
"Užimtų lovų skaičius","Kauno TLK",2200,104,48,455
"Užimtų lovų skaičius","Klaipėdos TLK",1492,64,33,463
"Užimtų lovų skaičius","Šiaulių TLK",1108,49,32,221
"Užimtų lovų skaičius","Panevėžio TLK",1496,38,26,262
