"description","tlk","total","intensive","ventilated","oxygen_mask"
"Stacionaro lovų skaičius","Vilniaus TLK",5067,211,199,1839
"Stacionaro lovų skaičius","Kauno TLK",4242,183,163,1954
"Stacionaro lovų skaičius","Klaipėdos TLK",3432,103,99,1160
"Stacionaro lovų skaičius","Šiaulių TLK",2005,64,60,963
"Stacionaro lovų skaičius","Panevėžio TLK",2617,90,80,493
"Užimtų lovų skaičius","Vilniaus TLK",3104,135,91,799
"Užimtų lovų skaičius","Kauno TLK",2391,108,53,409
"Užimtų lovų skaičius","Klaipėdos TLK",1531,50,13,328
"Užimtų lovų skaičius","Šiaulių TLK",972,33,21,104
"Užimtų lovų skaičius","Panevėžio TLK",1518,30,19,219
