"description","tlk","total","intensive","ventilated","oxygen_mask"
"Stacionaro lovų skaičius","Vilniaus TLK",4669,232,224,1751
"Stacionaro lovų skaičius","Kauno TLK",4271,196,172,1982
"Stacionaro lovų skaičius","Klaipėdos TLK",3064,99,93,1062
"Stacionaro lovų skaičius","Šiaulių TLK",2003,67,66,1063
"Stacionaro lovų skaičius","Panevėžio TLK",2617,90,80,532
"Užimtų lovų skaičius","Vilniaus TLK",1993,153,120,677
"Užimtų lovų skaičius","Kauno TLK",1616,98,58,532
"Užimtų lovų skaičius","Klaipėdos TLK",1184,76,49,413
"Užimtų lovų skaičius","Šiaulių TLK",871,50,34,211
"Užimtų lovų skaičius","Panevėžio TLK",1327,37,25,279
