"description","tlk","total","intensive","ventilated","oxygen_mask"
"Stacionaro lovų skaičius","Vilniaus TLK",5000,218,202,1840
"Stacionaro lovų skaičius","Kauno TLK",4061,179,159,1920
"Stacionaro lovų skaičius","Klaipėdos TLK",3091,90,87,1071
"Stacionaro lovų skaičius","Šiaulių TLK",1851,60,58,970
"Stacionaro lovų skaičius","Panevėžio TLK",2617,90,80,493
"Užimtų lovų skaičius","Vilniaus TLK",2929,112,81,744
"Užimtų lovų skaičius","Kauno TLK",2173,105,49,392
"Užimtų lovų skaičius","Klaipėdos TLK",1256,44,18,310
"Užimtų lovų skaičius","Šiaulių TLK",847,46,24,106
"Užimtų lovų skaičius","Panevėžio TLK",1448,33,21,171
