"description","tlk","total","intensive","ventilated","oxygen_mask"
"Stacionaro lovų skaičius","Vilniaus TLK",4629,222,208,1780
"Stacionaro lovų skaičius","Kauno TLK",4228,183,163,1954
"Stacionaro lovų skaičius","Klaipėdos TLK",3056,101,93,1046
"Stacionaro lovų skaičius","Šiaulių TLK",2005,64,60,1004
"Stacionaro lovų skaičius","Panevėžio TLK",2617,90,80,493
"Užimtų lovų skaičius","Vilniaus TLK",2883,130,91,774
"Užimtų lovų skaičius","Kauno TLK",2272,93,47,388
"Užimtų lovų skaičius","Klaipėdos TLK",1530,51,25,390
"Užimtų lovų skaičius","Šiaulių TLK",1006,41,17,156
"Užimtų lovų skaičius","Panevėžio TLK",1484,36,22,225
