"description","tlk","total","intensive","ventilated","oxygen_mask"
"Stacionaro lovų skaičius","Vilniaus TLK",4756,234,222,1696
"Stacionaro lovų skaičius","Kauno TLK",4248,179,159,1969
"Stacionaro lovų skaičius","Klaipėdos TLK",3064,99,93,1051
"Stacionaro lovų skaičius","Šiaulių TLK",2003,64,59,1017
"Stacionaro lovų skaičius","Panevėžio TLK",2617,90,80,500
"Užimtų lovų skaičius","Vilniaus TLK",2705,139,99,941
"Užimtų lovų skaičius","Kauno TLK",2238,109,53,433
"Užimtų lovų skaičius","Klaipėdos TLK",1461,57,28,458
"Užimtų lovų skaičius","Šiaulių TLK",1060,38,24,190
"Užimtų lovų skaičius","Panevėžio TLK",1455,28,21,229
