"description","tlk","total","intensive","ventilated","oxygen_mask"
"Stacionaro lovų skaičius","Vilniaus TLK",4251,181,163,1278
"Stacionaro lovų skaičius","Kauno TLK",2794,116,114,977
"Stacionaro lovų skaičius","Klaipėdos TLK",3468,98,83,1017
"Stacionaro lovų skaičius","Šiaulių TLK",1712,54,49,838
"Stacionaro lovų skaičius","Panevėžio TLK",2429,86,65,490
"Užimtų lovų skaičius","Vilniaus TLK",2932,102,81,512
"Užimtų lovų skaičius","Kauno TLK",1885,70,31,326
"Užimtų lovų skaičius","Klaipėdos TLK",1990,53,20,422
"Užimtų lovų skaičius","Šiaulių TLK",930,28,13,64
"Užimtų lovų skaičius","Panevėžio TLK",1494,42,15,171
