"description","tlk","total","intensive","ventilated","oxygen_mask"
"Stacionaro lovų skaičius","Vilniaus TLK",4636,239,238,1731
"Stacionaro lovų skaičius","Kauno TLK",4271,206,179,1982
"Stacionaro lovų skaičius","Klaipėdos TLK",3057,99,93,1076
"Stacionaro lovų skaičius","Šiaulių TLK",2003,67,66,1076
"Stacionaro lovų skaičius","Panevėžio TLK",2563,90,80,528
"Užimtų lovų skaičius","Vilniaus TLK",2490,135,97,915
"Užimtų lovų skaičius","Kauno TLK",1964,93,45,430
"Užimtų lovų skaičius","Klaipėdos TLK",1403,57,41,398
"Užimtų lovų skaičius","Šiaulių TLK",1023,52,29,181
"Užimtų lovų skaičius","Panevėžio TLK",1350,87,33,304
