"description","tlk","total","intensive","ventilated","oxygen_mask"
"Stacionaro lovų skaičius","Vilniaus TLK",4693,242,235,1734
"Stacionaro lovų skaičius","Kauno TLK",4271,201,179,1982
"Stacionaro lovų skaičius","Klaipėdos TLK",3057,99,93,1076
"Stacionaro lovų skaičius","Šiaulių TLK",2003,67,66,1073
"Stacionaro lovų skaičius","Panevėžio TLK",2572,90,80,528
"Užimtų lovų skaičius","Vilniaus TLK",2326,148,107,866
"Užimtų lovų skaičius","Kauno TLK",1997,87,47,535
"Užimtų lovų skaičius","Klaipėdos TLK",1363,54,36,396
"Užimtų lovų skaičius","Šiaulių TLK",1044,53,30,215
"Užimtų lovų skaičius","Panevėžio TLK",1440,45,28,318
