"description","tlk","total","intensive","ventilated","oxygen_mask"
"Stacionaro lovų skaičius","Vilniaus TLK",4710,243,235,1751
"Stacionaro lovų skaičius","Kauno TLK",4271,198,177,1982
"Stacionaro lovų skaičius","Klaipėdos TLK",3064,99,93,1076
"Stacionaro lovų skaičius","Šiaulių TLK",2003,67,66,1073
"Stacionaro lovų skaičius","Panevėžio TLK",2617,90,80,528
"Užimtų lovų skaičius","Vilniaus TLK",2354,157,112,884
"Užimtų lovų skaičius","Kauno TLK",2076,105,52,609
"Užimtų lovų skaičius","Klaipėdos TLK",1318,85,42,401
"Užimtų lovų skaičius","Šiaulių TLK",1031,55,36,221
"Užimtų lovų skaičius","Panevėžio TLK",1469,41,27,311
