"description","tlk","total","intensive","ventilated","oxygen_mask"
"Stacionaro lovų skaičius","Vilniaus TLK",5096,228,216,1790
"Stacionaro lovų skaičius","Kauno TLK",4235,183,163,1954
"Stacionaro lovų skaičius","Klaipėdos TLK",3125,103,99,1043
"Stacionaro lovų skaičius","Šiaulių TLK",2005,64,60,1004
"Stacionaro lovų skaičius","Panevėžio TLK",2617,90,80,493
"Užimtų lovų skaičius","Vilniaus TLK",3143,127,89,843
"Užimtų lovų skaičius","Kauno TLK",2261,110,48,412
"Užimtų lovų skaičius","Klaipėdos TLK",1517,45,20,343
"Užimtų lovų skaičius","Šiaulių TLK",991,38,23,150
"Užimtų lovų skaičius","Panevėžio TLK",1463,32,14,156
