"description","tlk","total","intensive","ventilated","oxygen_mask"
"Stacionaro lovų skaičius","Vilniaus TLK",4261,181,163,1278
"Stacionaro lovų skaičius","Kauno TLK",4136,160,152,1269
"Stacionaro lovų skaičius","Klaipėdos TLK",3468,98,83,1017
"Stacionaro lovų skaičius","Šiaulių TLK",1800,59,55,948
"Stacionaro lovų skaičius","Panevėžio TLK",2617,91,70,490
"Užimtų lovų skaičius","Vilniaus TLK",2766,98,73,518
"Užimtų lovų skaičius","Kauno TLK",2461,91,45,472
"Užimtų lovų skaičius","Klaipėdos TLK",1847,46,10,364
"Užimtų lovų skaičius","Šiaulių TLK",962,27,8,79
"Užimtų lovų skaičius","Panevėžio TLK",1651,41,16,187
