"description","tlk","total","intensive","ventilated","oxygen_mask"
"Stacionaro lovų skaičius","Vilniaus TLK",4881,235,223,1786
"Stacionaro lovų skaičius","Kauno TLK",4248,183,163,1969
"Stacionaro lovų skaičius","Klaipėdos TLK",3056,97,93,1051
"Stacionaro lovų skaičius","Šiaulių TLK",2003,64,59,1025
"Stacionaro lovų skaičius","Panevėžio TLK",2617,90,80,493
"Užimtų lovų skaičius","Vilniaus TLK",2499,140,103,773
"Užimtų lovų skaičius","Kauno TLK",2237,109,44,448
"Užimtų lovų skaičius","Klaipėdos TLK",1398,55,28,423
"Užimtų lovų skaičius","Šiaulių TLK",1001,31,21,187
"Užimtų lovų skaičius","Panevėžio TLK",1426,39,25,216
