"description","tlk","total","intensive","ventilated","oxygen_mask"
"Stacionaro lovų skaičius","Vilniaus TLK",4699,232,224,1751
"Stacionaro lovų skaičius","Kauno TLK",4271,198,176,1982
"Stacionaro lovų skaičius","Klaipėdos TLK",3064,99,93,1062
"Stacionaro lovų skaičius","Šiaulių TLK",2003,67,66,1073
"Stacionaro lovų skaičius","Panevėžio TLK",2617,87,76,518
"Užimtų lovų skaičius","Vilniaus TLK",2488,142,102,788
"Užimtų lovų skaičius","Kauno TLK",1961,110,32,615
"Užimtų lovų skaičius","Klaipėdos TLK",1281,80,55,405
"Užimtų lovų skaičius","Šiaulių TLK",977,45,30,228
"Užimtų lovų skaičius","Panevėžio TLK",1405,42,32,314
