"description","tlk","total","intensive","ventilated","oxygen_mask"
"Stacionaro lovų skaičius","Vilniaus TLK",3945,199,186,1500
"Stacionaro lovų skaičius","Kauno TLK",3663,147,137,1090
"Stacionaro lovų skaičius","Klaipėdos TLK",3468,98,83,1017
"Stacionaro lovų skaičius","Šiaulių TLK",1859,60,57,963
"Stacionaro lovų skaičius","Panevėžio TLK",2444,84,65,459
"Užimtų lovų skaičius","Vilniaus TLK",2590,117,97,650
"Užimtų lovų skaičius","Kauno TLK",2110,81,40,445
"Užimtų lovų skaičius","Klaipėdos TLK",1794,42,17,356
"Užimtų lovų skaičius","Šiaulių TLK",954,30,6,84
"Užimtų lovų skaičius","Panevėžio TLK",1528,33,14,181
