"description","tlk","total","intensive","ventilated","oxygen_mask"
"Stacionaro lovų skaičius","Vilniaus TLK",4856,235,219,1718
"Stacionaro lovų skaičius","Kauno TLK",4248,183,163,1969
"Stacionaro lovų skaičius","Klaipėdos TLK",3064,97,93,1051
"Stacionaro lovų skaičius","Šiaulių TLK",2003,64,59,1017
"Stacionaro lovų skaičius","Panevėžio TLK",2617,90,80,500
"Užimtų lovų skaičius","Vilniaus TLK",2875,154,104,995
"Užimtų lovų skaičius","Kauno TLK",2183,103,50,428
"Užimtų lovų skaičius","Klaipėdos TLK",1462,55,31,451
"Užimtų lovų skaičius","Šiaulių TLK",1024,44,25,188
"Užimtų lovų skaičius","Panevėžio TLK",1438,39,28,224
