"description","tlk","total","intensive","ventilated","oxygen_mask"
"Stacionaro lovų skaičius","Vilniaus TLK",4664,226,218,1593
"Stacionaro lovų skaičius","Kauno TLK",4271,196,176,1982
"Stacionaro lovų skaičius","Klaipėdos TLK",3064,99,93,1062
"Stacionaro lovų skaičius","Šiaulių TLK",2003,67,66,1045
"Stacionaro lovų skaičius","Panevėžio TLK",2617,90,80,537
"Užimtų lovų skaičius","Vilniaus TLK",2352,162,121,968
"Užimtų lovų skaičius","Kauno TLK",1902,86,43,547
"Užimtų lovų skaičius","Klaipėdos TLK",1379,70,42,472
"Užimtų lovų skaičius","Šiaulių TLK",980,48,32,218
"Užimtų lovų skaičius","Panevėžio TLK",1460,41,29,340
