"description","tlk","total","intensive","ventilated","oxygen_mask"
"Stacionaro lovų skaičius","Vilniaus TLK",5195,228,217,1814
"Stacionaro lovų skaičius","Kauno TLK",3950,174,151,1809
"Stacionaro lovų skaičius","Klaipėdos TLK",3468,98,84,1032
"Stacionaro lovų skaičius","Šiaulių TLK",2013,64,59,963
"Stacionaro lovų skaičius","Panevėžio TLK",2616,90,80,493
"Užimtų lovų skaičius","Vilniaus TLK",3632,150,96,840
"Užimtų lovų skaičius","Kauno TLK",2507,111,36,436
"Užimtų lovų skaičius","Klaipėdos TLK",1864,45,17,364
"Užimtų lovų skaičius","Šiaulių TLK",1103,29,13,75
"Užimtų lovų skaičius","Panevėžio TLK",1671,37,23,213
