"description","tlk","total","intensive","ventilated","oxygen_mask"
"Stacionaro lovų skaičius","Vilniaus TLK",3510,148,136,1252
"Stacionaro lovų skaičius","Kauno TLK",4061,179,158,1920
"Stacionaro lovų skaičius","Klaipėdos TLK",2353,71,64,886
"Stacionaro lovų skaičius","Šiaulių TLK",1851,60,57,963
"Stacionaro lovų skaičius","Panevėžio TLK",2444,83,75,462
"Užimtų lovų skaičius","Vilniaus TLK",2012,75,59,466
"Užimtų lovų skaičius","Kauno TLK",2116,120,50,397
"Užimtų lovų skaičius","Klaipėdos TLK",993,33,15,307
"Užimtų lovų skaičius","Šiaulių TLK",847,32,16,90
"Užimtų lovų skaičius","Panevėžio TLK",1319,33,16,178
