"description","tlk","total","intensive","ventilated","oxygen_mask"
"Stacionaro lovų skaičius","Vilniaus TLK",5283,233,211,1746
"Stacionaro lovų skaičius","Kauno TLK",4241,162,154,1395
"Stacionaro lovų skaičius","Klaipėdos TLK",3468,98,83,1017
"Stacionaro lovų skaičius","Šiaulių TLK",2008,64,59,965
"Stacionaro lovų skaičius","Panevėžio TLK",2617,91,70,490
"Užimtų lovų skaičius","Vilniaus TLK",3746,136,100,828
"Užimtų lovų skaičius","Kauno TLK",2791,103,38,558
"Užimtų lovų skaičius","Klaipėdos TLK",2140,60,21,402
"Užimtų lovų skaičius","Šiaulių TLK",1182,30,13,90
"Užimtų lovų skaičius","Panevėžio TLK",1715,37,16,205
