"description","tlk","total","intensive","ventilated","oxygen_mask"
"Stacionaro lovų skaičius","Vilniaus TLK",4616,232,222,1751
"Stacionaro lovų skaičius","Kauno TLK",4271,196,176,1982
"Stacionaro lovų skaičius","Klaipėdos TLK",3064,99,93,1062
"Stacionaro lovų skaičius","Šiaulių TLK",2003,67,66,1045
"Stacionaro lovų skaičius","Panevėžio TLK",2617,90,80,516
"Užimtų lovų skaičius","Vilniaus TLK",2574,148,120,756
"Užimtų lovų skaičius","Kauno TLK",2096,110,46,477
"Užimtų lovų skaičius","Klaipėdos TLK",1427,75,43,492
"Užimtų lovų skaičius","Šiaulių TLK",999,48,31,189
"Užimtų lovų skaičius","Panevėžio TLK",1483,38,27,290
