"description","tlk","total","intensive","ventilated","oxygen_mask"
"Stacionaro lovų skaičius","Vilniaus TLK",4966,221,209,1843
"Stacionaro lovų skaičius","Kauno TLK",4242,183,163,1954
"Stacionaro lovų skaičius","Klaipėdos TLK",3432,103,99,1160
"Stacionaro lovų skaičius","Šiaulių TLK",2005,64,60,968
"Stacionaro lovų skaičius","Panevėžio TLK",2617,90,80,493
"Užimtų lovų skaičius","Vilniaus TLK",3152,130,99,910
"Užimtų lovų skaičius","Kauno TLK",2459,109,51,437
"Užimtų lovų skaičius","Klaipėdos TLK",1557,51,21,340
"Užimtų lovų skaičius","Šiaulių TLK",985,39,21,113
"Užimtų lovų skaičius","Panevėžio TLK",1492,35,19,199
