"description","tlk","total","intensive","ventilated","oxygen_mask"
"Stacionaro lovų skaičius","Vilniaus TLK",4664,232,224,1751
"Stacionaro lovų skaičius","Kauno TLK",4271,196,176,1982
"Stacionaro lovų skaičius","Klaipėdos TLK",3064,99,93,1062
"Stacionaro lovų skaičius","Šiaulių TLK",2003,67,66,1045
"Stacionaro lovų skaičius","Panevėžio TLK",2617,90,80,534
"Užimtų lovų skaičius","Vilniaus TLK",2271,161,120,887
"Užimtų lovų skaičius","Kauno TLK",1986,102,47,550
"Užimtų lovų skaičius","Klaipėdos TLK",1333,76,44,463
"Užimtų lovų skaičius","Šiaulių TLK",985,49,26,215
"Užimtų lovų skaičius","Panevėžio TLK",1411,40,28,315
