"description","tlk","total","intensive","ventilated","oxygen_mask"
"Stacionaro lovų skaičius","Vilniaus TLK",5313,231,219,1843
"Stacionaro lovų skaičius","Kauno TLK",4242,183,162,1954
"Stacionaro lovų skaičius","Klaipėdos TLK",3318,92,80,990
"Stacionaro lovų skaičius","Šiaulių TLK",1877,61,55,925
"Stacionaro lovų skaičius","Panevėžio TLK",2617,90,78,493
"Užimtų lovų skaičius","Vilniaus TLK",3545,145,90,850
"Užimtų lovų skaičius","Kauno TLK",2604,123,59,470
"Užimtų lovų skaičius","Klaipėdos TLK",1640,49,21,338
"Užimtų lovų skaičius","Šiaulių TLK",972,32,16,85
"Užimtų lovų skaičius","Panevėžio TLK",1649,38,23,214
