"description","tlk","total","intensive","ventilated","oxygen_mask"
"Stacionaro lovų skaičius","Vilniaus TLK",4693,239,234,1731
"Stacionaro lovų skaičius","Kauno TLK",4271,199,179,1982
"Stacionaro lovų skaičius","Klaipėdos TLK",3057,99,93,1076
"Stacionaro lovų skaičius","Šiaulių TLK",2003,67,66,1073
"Stacionaro lovų skaičius","Panevėžio TLK",2572,87,76,518
"Užimtų lovų skaičius","Vilniaus TLK",2573,152,120,1039
"Užimtų lovų skaičius","Kauno TLK",2107,101,53,468
"Užimtų lovų skaičius","Klaipėdos TLK",1385,64,46,395
"Užimtų lovų skaičius","Šiaulių TLK",1051,52,29,195
"Užimtų lovų skaičius","Panevėžio TLK",1397,45,27,314
