"description","tlk","total","intensive","ventilated","oxygen_mask"
"Stacionaro lovų skaičius","Vilniaus TLK",4773,203,191,1662
"Stacionaro lovų skaičius","Kauno TLK",4131,181,157,1893
"Stacionaro lovų skaičius","Klaipėdos TLK",3337,94,82,995
"Stacionaro lovų skaičius","Šiaulių TLK",2005,64,59,963
"Stacionaro lovų skaičius","Panevėžio TLK",2617,90,80,493
"Užimtų lovų skaičius","Vilniaus TLK",2925,126,94,610
"Užimtų lovų skaičius","Kauno TLK",2192,106,54,401
"Užimtų lovų skaičius","Klaipėdos TLK",1451,44,14,328
"Užimtų lovų skaičius","Šiaulių TLK",973,34,21,100
"Užimtų lovų skaičius","Panevėžio TLK",1512,32,18,190
