"description","tlk","total","intensive","ventilated","oxygen_mask"
"Stacionaro lovų skaičius","Vilniaus TLK",5065,234,222,1786
"Stacionaro lovų skaičius","Kauno TLK",4228,183,163,1954
"Stacionaro lovų skaičius","Klaipėdos TLK",3056,97,93,1046
"Stacionaro lovų skaičius","Šiaulių TLK",2003,64,59,1004
"Stacionaro lovų skaičius","Panevėžio TLK",2617,90,80,493
"Užimtų lovų skaičius","Vilniaus TLK",2973,142,95,871
"Užimtų lovų skaičius","Kauno TLK",2193,101,54,439
"Užimtų lovų skaičius","Klaipėdos TLK",1480,52,27,408
"Užimtų lovų skaičius","Šiaulių TLK",1015,51,24,164
"Užimtų lovų skaičius","Panevėžio TLK",1494,30,15,252
