"description","tlk","total","intensive","ventilated","oxygen_mask"
"Stacionaro lovų skaičius","Vilniaus TLK",4695,239,234,1731
"Stacionaro lovų skaičius","Kauno TLK",4271,206,179,1982
"Stacionaro lovų skaičius","Klaipėdos TLK",3057,99,93,1076
"Stacionaro lovų skaičius","Šiaulių TLK",2003,67,66,1073
"Stacionaro lovų skaičius","Panevėžio TLK",2572,88,76,519
"Užimtų lovų skaičius","Vilniaus TLK",2595,153,115,1010
"Užimtų lovų skaičius","Kauno TLK",2161,113,50,457
"Užimtų lovų skaičius","Klaipėdos TLK",1456,56,44,402
"Užimtų lovų skaičius","Šiaulių TLK",1058,44,27,197
"Užimtų lovų skaičius","Panevėžio TLK",1414,46,30,321
