"description","tlk","total","intensive","ventilated","oxygen_mask"
"Stacionaro lovų skaičius","Vilniaus TLK",4719,235,227,1636
"Stacionaro lovų skaičius","Kauno TLK",4271,198,177,1982
"Stacionaro lovų skaičius","Klaipėdos TLK",3064,99,93,1076
"Stacionaro lovų skaičius","Šiaulių TLK",2003,67,66,1073
"Stacionaro lovų skaičius","Panevėžio TLK",2617,88,76,523
"Užimtų lovų skaičius","Vilniaus TLK",2262,157,112,818
"Užimtų lovų skaičius","Kauno TLK",1879,95,59,584
"Užimtų lovų skaičius","Klaipėdos TLK",1265,78,49,399
"Užimtų lovų skaičius","Šiaulių TLK",959,42,26,247
"Užimtų lovų skaičius","Panevėžio TLK",1463,45,31,320
