"description","tlk","total","intensive","ventilated","oxygen_mask"
"Stacionaro lovų skaičius","Vilniaus TLK",4630,232,222,1751
"Stacionaro lovų skaičius","Kauno TLK",4271,196,176,1982
"Stacionaro lovų skaičius","Klaipėdos TLK",3064,99,93,1062
"Stacionaro lovų skaičius","Šiaulių TLK",2003,67,66,1045
"Stacionaro lovų skaičius","Panevėžio TLK",2617,90,80,516
"Užimtų lovų skaičius","Vilniaus TLK",2557,150,117,755
"Užimtų lovų skaičius","Kauno TLK",2077,104,52,523
"Užimtų lovų skaičius","Klaipėdos TLK",1426,68,36,519
"Užimtų lovų skaičius","Šiaulių TLK",977,45,25,207
"Užimtų lovų skaičius","Panevėžio TLK",1478,33,22,296
