"description","tlk","total","intensive","ventilated","oxygen_mask"
"Stacionaro lovų skaičius","Vilniaus TLK",4712,233,222,1718
"Stacionaro lovų skaičius","Kauno TLK",4248,183,163,1969
"Stacionaro lovų skaičius","Klaipėdos TLK",3064,99,93,1051
"Stacionaro lovų skaičius","Šiaulių TLK",2003,67,66,1035
"Stacionaro lovų skaičius","Panevėžio TLK",2617,90,80,516
"Užimtų lovų skaičius","Vilniaus TLK",2406,152,101,933
"Užimtų lovų skaičius","Kauno TLK",2086,96,57,496
"Užimtų lovų skaičius","Klaipėdos TLK",1483,66,35,477
"Užimtų lovų skaičius","Šiaulių TLK",1004,51,27,199
"Užimtų lovų skaičius","Panevėžio TLK",1424,45,28,266
