"description","tlk","total","intensive","ventilated","oxygen_mask"
"Stacionaro lovų skaičius","Vilniaus TLK",4881,235,223,1786
"Stacionaro lovų skaičius","Kauno TLK",4228,183,163,1954
"Stacionaro lovų skaičius","Klaipėdos TLK",3056,97,93,1046
"Stacionaro lovų skaičius","Šiaulių TLK",2003,64,59,1004
"Stacionaro lovų skaičius","Panevėžio TLK",2617,90,80,493
"Užimtų lovų skaičius","Vilniaus TLK",2703,140,97,872
"Užimtų lovų skaičius","Kauno TLK",2226,93,49,447
"Užimtų lovų skaičius","Klaipėdos TLK",1473,54,29,404
"Užimtų lovų skaičius","Šiaulių TLK",1039,45,20,186
"Užimtų lovų skaičius","Panevėžio TLK",1470,41,25,222
