"description","tlk","total","intensive","ventilated","oxygen_mask"
"Stacionaro lovų skaičius","Vilniaus TLK",4712,232,224,1640
"Stacionaro lovų skaičius","Kauno TLK",4271,198,176,1982
"Stacionaro lovų skaičius","Klaipėdos TLK",3064,99,93,1076
"Stacionaro lovų skaičius","Šiaulių TLK",2003,67,66,1073
"Stacionaro lovų skaičius","Panevėžio TLK",2617,87,76,518
"Užimtų lovų skaičius","Vilniaus TLK",2340,156,121,1033
"Užimtų lovų skaičius","Kauno TLK",1800,116,54,566
"Užimtų lovų skaičius","Klaipėdos TLK",1174,75,47,390
"Užimtų lovų skaičius","Šiaulių TLK",937,44,27,241
"Užimtų lovų skaičius","Panevėžio TLK",1412,45,39,308
