"description","tlk","total","intensive","ventilated","oxygen_mask"
"Stacionaro lovų skaičius","Vilniaus TLK",4700,233,222,1718
"Stacionaro lovų skaičius","Kauno TLK",4248,183,163,1969
"Stacionaro lovų skaičius","Klaipėdos TLK",3064,99,93,1051
"Stacionaro lovų skaičius","Šiaulių TLK",2003,67,66,1035
"Stacionaro lovų skaičius","Panevėžio TLK",2617,90,80,516
"Užimtų lovų skaičius","Vilniaus TLK",2432,136,97,958
"Užimtų lovų skaičius","Kauno TLK",2125,108,44,497
"Užimtų lovų skaičius","Klaipėdos TLK",1435,69,36,522
"Užimtų lovų skaičius","Šiaulių TLK",1045,47,28,217
"Užimtų lovų skaičius","Panevėžio TLK",1433,42,28,289
