"description","tlk","total","intensive","ventilated","oxygen_mask"
"Stacionaro lovų skaičius","Vilniaus TLK",4728,233,222,1668
"Stacionaro lovų skaičius","Kauno TLK",4248,183,163,1969
"Stacionaro lovų skaičius","Klaipėdos TLK",3064,99,93,1051
"Stacionaro lovų skaičius","Šiaulių TLK",2003,67,66,1019
"Stacionaro lovų skaičius","Panevėžio TLK",2617,90,80,502
"Užimtų lovų skaičius","Vilniaus TLK",2889,136,97,831
"Užimtų lovų skaičius","Kauno TLK",2239,104,44,462
"Užimtų lovų skaičius","Klaipėdos TLK",1544,65,29,474
"Užimtų lovų skaičius","Šiaulių TLK",1076,49,30,198
"Užimtų lovų skaičius","Panevėžio TLK",1512,34,23,268
