"description","tlk","total","intensive","ventilated","oxygen_mask"
"Stacionaro lovų skaičius","Vilniaus TLK",4627,227,216,1678
"Stacionaro lovų skaičius","Kauno TLK",4248,183,163,1969
"Stacionaro lovų skaičius","Klaipėdos TLK",3064,99,93,1051
"Stacionaro lovų skaičius","Šiaulių TLK",2003,67,66,1035
"Stacionaro lovų skaičius","Panevėžio TLK",2617,90,80,502
"Užimtų lovų skaičius","Vilniaus TLK",2713,138,90,917
"Užimtų lovų skaičius","Kauno TLK",1973,91,43,458
"Užimtų lovų skaičius","Klaipėdos TLK",1433,60,33,454
"Užimtų lovų skaičius","Šiaulių TLK",980,45,30,207
"Užimtų lovų skaičius","Panevėžio TLK",1460,38,30,289
