"description","tlk","total","intensive","ventilated","oxygen_mask"
"Stacionaro lovų skaičius","Vilniaus TLK",4710,242,235,1758
"Stacionaro lovų skaičius","Kauno TLK",4271,198,177,1982
"Stacionaro lovų skaičius","Klaipėdos TLK",3064,99,93,1076
"Stacionaro lovų skaičius","Šiaulių TLK",2003,67,66,1073
"Stacionaro lovų skaičius","Panevėžio TLK",2617,90,80,526
"Užimtų lovų skaičius","Vilniaus TLK",2371,152,112,893
"Užimtų lovų skaičius","Kauno TLK",2151,113,51,609
"Užimtų lovų skaičius","Klaipėdos TLK",1354,82,54,406
"Užimtų lovų skaičius","Šiaulių TLK",1039,49,27,238
"Užimtų lovų skaičius","Panevėžio TLK",1472,46,27,311
