"description","tlk","total","intensive","ventilated","oxygen_mask"
"Stacionaro lovų skaičius","Vilniaus TLK",4605,233,222,1598
"Stacionaro lovų skaičius","Kauno TLK",4271,196,176,1982
"Stacionaro lovų skaičius","Klaipėdos TLK",3064,99,93,1051
"Stacionaro lovų skaičius","Šiaulių TLK",2003,67,66,1035
"Stacionaro lovų skaičius","Panevėžio TLK",2617,90,80,516
"Užimtų lovų skaičius","Vilniaus TLK",2235,146,108,743
"Užimtų lovų skaičius","Kauno TLK",1904,108,53,481
"Užimtų lovų skaičius","Klaipėdos TLK",1406,64,36,467
"Užimtų lovų skaičius","Šiaulių TLK",1008,46,22,202
"Užimtų lovų skaičius","Panevėžio TLK",1460,34,25,280
