"description","tlk","total","intensive","ventilated","oxygen_mask"
"Stacionaro lovų skaičius","Vilniaus TLK",4702,233,222,1718
"Stacionaro lovų skaičius","Kauno TLK",4248,183,163,1969
"Stacionaro lovų skaičius","Klaipėdos TLK",3064,99,93,1051
"Stacionaro lovų skaičius","Šiaulių TLK",2003,67,66,1035
"Stacionaro lovų skaičius","Panevėžio TLK",2617,90,80,516
"Užimtų lovų skaičius","Vilniaus TLK",2460,136,94,980
"Užimtų lovų skaičius","Kauno TLK",2085,94,50,477
"Užimtų lovų skaičius","Klaipėdos TLK",1517,66,38,472
"Užimtų lovų skaičius","Šiaulių TLK",1036,49,29,184
"Užimtų lovų skaičius","Panevėžio TLK",1460,42,27,299
