"description","tlk","total","intensive","ventilated","oxygen_mask"
"Stacionaro lovų skaičius","Vilniaus TLK",4200,192,176,1627
"Stacionaro lovų skaičius","Kauno TLK",4061,179,159,1920
"Stacionaro lovų skaičius","Klaipėdos TLK",3282,97,93,1120
"Stacionaro lovų skaičius","Šiaulių TLK",1851,60,58,970
"Stacionaro lovų skaičius","Panevėžio TLK",2444,83,75,462
"Užimtų lovų skaičius","Vilniaus TLK",2527,102,75,754
"Užimtų lovų skaičius","Kauno TLK",2074,84,47,385
"Užimtų lovų skaičius","Klaipėdos TLK",1395,47,17,307
"Užimtų lovų skaičius","Šiaulių TLK",897,38,23,119
"Užimtų lovų skaičius","Panevėžio TLK",1351,30,16,191
