"description","tlk","total","intensive","ventilated","oxygen_mask"
"Stacionaro lovų skaičius","Vilniaus TLK",4916,212,200,1840
"Stacionaro lovų skaičius","Kauno TLK",2930,142,122,1574
"Stacionaro lovų skaičius","Klaipėdos TLK",2407,74,68,918
"Stacionaro lovų skaičius","Šiaulių TLK",1851,60,57,963
"Stacionaro lovų skaičius","Panevėžio TLK",2344,80,71,452
"Užimtų lovų skaičius","Vilniaus TLK",2815,134,87,784
"Užimtų lovų skaičius","Kauno TLK",1565,100,47,254
"Užimtų lovų skaičius","Klaipėdos TLK",1060,38,16,287
"Užimtų lovų skaičius","Šiaulių TLK",851,27,13,89
"Užimtų lovų skaičius","Panevėžio TLK",1292,37,23,164
