"description","tlk","total","intensive","ventilated","oxygen_mask"
"Stacionaro lovų skaičius","Vilniaus TLK",4856,235,223,1786
"Stacionaro lovų skaičius","Kauno TLK",4248,183,163,1969
"Stacionaro lovų skaičius","Klaipėdos TLK",3064,93,93,1051
"Stacionaro lovų skaičius","Šiaulių TLK",2003,64,59,1017
"Stacionaro lovų skaičius","Panevėžio TLK",2617,90,80,500
"Užimtų lovų skaičius","Vilniaus TLK",2847,143,100,836
"Užimtų lovų skaičius","Kauno TLK",2217,103,49,442
"Užimtų lovų skaičius","Klaipėdos TLK",1478,57,29,448
"Užimtų lovų skaičius","Šiaulių TLK",1031,40,25,198
"Užimtų lovų skaičius","Panevėžio TLK",1454,39,26,237
