"description","tlk","total","intensive","ventilated","oxygen_mask"
"Stacionaro lovų skaičius","Vilniaus TLK",4669,232,224,1751
"Stacionaro lovų skaičius","Kauno TLK",4271,196,176,1982
"Stacionaro lovų skaičius","Klaipėdos TLK",3064,99,93,1062
"Stacionaro lovų skaičius","Šiaulių TLK",2003,67,66,1063
"Stacionaro lovų skaičius","Panevėžio TLK",2617,87,76,522
"Užimtų lovų skaičius","Vilniaus TLK",2060,151,116,931
"Užimtų lovų skaičius","Kauno TLK",1612,92,44,509
"Užimtų lovų skaičius","Klaipėdos TLK",1163,74,40,434
"Užimtų lovų skaičius","Šiaulių TLK",862,48,32,209
"Užimtų lovų skaičius","Panevėžio TLK",1286,40,29,256
