"description","tlk","total","intensive","ventilated","oxygen_mask"
"Stacionaro lovų skaičius","Vilniaus TLK",5059,228,216,1790
"Stacionaro lovų skaičius","Kauno TLK",4228,183,163,1954
"Stacionaro lovų skaičius","Klaipėdos TLK",3056,97,93,1046
"Stacionaro lovų skaičius","Šiaulių TLK",2003,64,59,1004
"Stacionaro lovų skaičius","Panevėžio TLK",2617,90,80,493
"Užimtų lovų skaičius","Vilniaus TLK",2936,139,91,609
"Užimtų lovų skaičius","Kauno TLK",2067,84,41,406
"Užimtų lovų skaičius","Klaipėdos TLK",1483,48,26,398
"Užimtų lovų skaičius","Šiaulių TLK",1014,50,25,173
"Užimtų lovų skaičius","Panevėžio TLK",1494,30,17,238
