"description","tlk","total","intensive","ventilated","oxygen_mask"
"Stacionaro lovų skaičius","Vilniaus TLK",4669,232,224,1741
"Stacionaro lovų skaičius","Kauno TLK",4271,196,176,1982
"Stacionaro lovų skaičius","Klaipėdos TLK",3064,99,93,1062
"Stacionaro lovų skaičius","Šiaulių TLK",2003,67,66,1063
"Stacionaro lovų skaičius","Panevėžio TLK",2617,87,76,522
"Užimtų lovų skaičius","Vilniaus TLK",2192,156,116,1141
"Užimtų lovų skaičius","Kauno TLK",1639,107,59,534
"Užimtų lovų skaičius","Klaipėdos TLK",1237,75,45,435
"Užimtų lovų skaičius","Šiaulių TLK",900,48,26,221
"Užimtų lovų skaičius","Panevėžio TLK",1356,39,27,293
