"description","tlk","total","intensive","ventilated","oxygen_mask"
"Stacionaro lovų skaičius","Vilniaus TLK",4734,233,222,1668
"Stacionaro lovų skaičius","Kauno TLK",4248,183,159,1969
"Stacionaro lovų skaičius","Klaipėdos TLK",3064,99,93,1051
"Stacionaro lovų skaičius","Šiaulių TLK",2003,67,66,1035
"Stacionaro lovų skaičius","Panevėžio TLK",2617,90,80,502
"Užimtų lovų skaičius","Vilniaus TLK",2619,130,91,757
"Užimtų lovų skaičius","Kauno TLK",2123,112,46,442
"Užimtų lovų skaičius","Klaipėdos TLK",1417,66,32,437
"Užimtų lovų skaičius","Šiaulių TLK",1002,48,31,208
"Užimtų lovų skaičius","Panevėžio TLK",1465,36,28,277
