"description","tlk","total","intensive","ventilated","oxygen_mask"
"Stacionaro lovų skaičius","Vilniaus TLK",4666,232,224,1751
"Stacionaro lovų skaičius","Kauno TLK",4271,196,176,1982
"Stacionaro lovų skaičius","Klaipėdos TLK",3064,99,93,1062
"Stacionaro lovų skaičius","Šiaulių TLK",2003,67,66,1063
"Stacionaro lovų skaičius","Panevėžio TLK",2617,87,76,524
"Užimtų lovų skaičius","Vilniaus TLK",2176,146,112,808
"Užimtų lovų skaičius","Kauno TLK",1906,100,48,554
"Užimtų lovų skaičius","Klaipėdos TLK",1300,73,42,449
"Užimtų lovų skaičius","Šiaulių TLK",936,48,28,211
"Užimtų lovų skaičius","Panevėžio TLK",1364,34,25,282
