"description","tlk","total","intensive","ventilated","oxygen_mask"
"Stacionaro lovų skaičius","Vilniaus TLK",4673,233,222,1668
"Stacionaro lovų skaičius","Kauno TLK",4248,183,163,1969
"Stacionaro lovų skaičius","Klaipėdos TLK",3064,99,93,1051
"Stacionaro lovų skaičius","Šiaulių TLK",2003,67,66,1017
"Stacionaro lovų skaičius","Panevėžio TLK",2617,90,80,503
"Užimtų lovų skaičius","Vilniaus TLK",2774,139,97,806
"Užimtų lovų skaičius","Kauno TLK",2134,102,50,536
"Užimtų lovų skaičius","Klaipėdos TLK",1476,69,39,471
"Užimtų lovų skaičius","Šiaulių TLK",1074,42,28,229
"Užimtų lovų skaičius","Panevėžio TLK",1501,36,22,269
